ID,DistrictsAndNeighbourhoods,Encoding_3,DistanceToPerformingArts_99,Within5Km_100,Within10Km_101,Within20Km_102,DistanceToPopMusicVenue_103,DistanceToCinema_104,Within5Km_105,Within10Km_106,Within20Km_107,DistanceToSauna_108,DistanceToTanningSalon_109,DistanceToAttraction_110,Within10Km_111,Within20Km_112,Within50Km_113,DistanceToFireStation_114
0,NL00,NL00,4.9,2.9,6.9,16.2,10.2,6.5,1.3,2.9,7.3,8.4,4.2,5.6,3.0,8.8,41.0,2.2
1,GM1680,GM1680,11.4,0.0,0.4,2.6,28.8,11.8,0.0,0.3,1.8,18.9,10.8,7.5,0.9,4.5,22.3,2.7
2,WK168000,WK168000,14.1,0.0,0.0,3.1,21.3,14.5,0.0,0.0,2.3,13.9,13.6,5.6,1.0,5.0,21.8,1.3
3,BU16800000,BU16800000,14.1,0.0,0.0,3.1,21.2,14.5,0.0,0.0,2.3,13.8,13.7,5.6,1.0,5.0,21.8,1.3
4,BU16800009,BU16800009,13.3,0.0,0.0,3.3,23.0,14.2,0.0,0.0,2.3,15.4,12.7,7.1,1.0,5.0,21.4,1.7
5,WK168001,WK168001,14.9,0.0,0.0,3.9,26.4,15.1,0.0,0.0,2.9,18.4,14.2,9.7,0.7,4.2,21.8,4.2
6,BU16800100,BU16800100,14.9,0.0,0.0,4.0,26.6,14.9,0.0,0.0,3.0,18.5,14.1,9.9,0.7,4.1,21.8,4.3
7,BU16800109,BU16800109,15.1,0.0,0.0,3.7,25.4,16.3,0.0,0.0,2.8,17.5,14.4,8.9,1.0,5.1,21.8,3.1
8,WK168002,WK168002,12.9,0.0,0.0,3.0,23.0,12.9,0.0,0.0,2.0,12.6,12.2,7.9,1.0,5.0,23.7,2.6
9,BU16800200,BU16800200,12.8,0.0,0.0,3.0,23.0,12.8,0.0,0.0,2.0,12.5,12.1,7.9,1.0,5.0,23.9,2.6
10,BU16800209,BU16800209,13.3,0.0,0.0,3.0,23.2,13.3,0.0,0.0,2.0,12.8,12.5,7.9,1.0,5.0,22.9,2.7
11,WK168003,WK168003,10.1,0.0,0.4,3.0,23.4,10.1,0.0,0.4,2.0,11.2,9.3,8.9,1.5,4.5,25.0,5.4
12,BU16800300,BU16800300,10.1,0.0,0.4,3.0,23.4,10.1,0.0,0.4,2.0,11.1,9.3,8.9,1.5,4.5,25.0,5.4
13,BU16800309,BU16800309,10.9,0.0,0.0,3.0,23.6,10.9,0.0,0.0,2.0,11.5,10.1,9.1,1.0,4.3,24.7,4.9
14,WK168004,WK168004,10.9,0.0,0.0,1.0,28.0,10.9,0.0,0.0,1.0,15.9,10.1,11.8,0.0,4.0,25.0,4.1
15,BU16800400,BU16800400,10.9,0.0,0.0,1.0,28.0,10.9,0.0,0.0,1.0,15.9,10.1,11.9,0.0,4.0,25.0,4.1
16,BU16800409,BU16800409,10.4,0.0,0.4,1.0,28.6,10.4,0.0,0.4,1.0,16.3,9.6,11.3,0.2,4.0,25.0,3.6
17,WK168005,WK168005,13.5,0.0,0.0,9.6,18.8,13.6,0.0,0.0,4.9,8.9,13.6,4.3,1.0,5.9,21.1,4.2
18,BU16800500,BU16800500,13.5,0.0,0.0,9.9,18.7,13.6,0.0,0.0,5.0,8.8,13.6,4.3,1.0,6.0,21.1,4.2
19,BU16800509,BU16800509,14.0,0.0,0.0,7.2,19.3,14.0,0.0,0.0,4.2,9.4,14.0,4.9,1.0,5.5,21.0,4.7
20,WK168006,WK168006,9.9,0.0,0.5,3.0,27.6,13.7,0.0,0.0,2.0,20.7,9.1,11.7,0.0,3.0,18.4,7.2
21,BU16800600,BU16800600,9.9,0.0,0.5,3.0,27.7,13.6,0.0,0.0,2.0,20.7,9.1,11.7,0.0,3.0,18.4,7.3
22,BU16800609,BU16800609,11.0,0.0,0.0,3.0,27.3,14.4,0.0,0.0,2.0,20.4,10.2,11.5,0.0,3.0,18.0,6.9
23,WK168007,WK168007,9.8,0.0,1.1,4.0,23.6,10.7,0.0,0.0,3.0,16.7,9.1,7.7,1.0,4.0,19.9,3.5
24,BU16800700,BU16800700,9.8,0.0,1.1,4.0,23.6,10.7,0.0,0.0,3.0,16.7,9.1,7.7,1.0,4.0,19.9,3.5
25,BU16800709,BU16800709,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .
26,WK168008,WK168008,10.9,0.0,0.0,3.5,24.7,11.9,0.0,0.0,2.5,17.8,10.2,8.8,0.9,3.6,18.1,4.5
27,BU16800800,BU16800800,10.8,0.0,0.0,3.5,24.6,11.8,0.0,0.0,2.5,17.7,10.2,8.7,1.0,3.6,18.2,4.4
28,BU16800809,BU16800809,11.5,0.0,0.0,3.4,25.9,13.1,0.0,0.0,2.4,19.0,10.8,10.0,0.4,3.4,17.4,5.7
29,WK168009,WK168009,9.1,0.0,1.2,3.4,23.0,9.2,0.0,1.0,2.4,16.1,9.6,7.1,1.0,3.5,19.5,4.8
30,BU16800900,BU16800900,9.1,0.0,1.3,3.4,23.0,9.2,0.0,1.0,2.4,16.1,9.6,7.1,1.0,3.5,19.5,4.8
31,BU16800909,BU16800909,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .
32,WK168011,WK168011,8.7,0.0,1.6,3.0,25.5,10.0,0.0,0.5,2.0,19.5,8.0,10.6,0.3,3.0,17.2,6.3
33,BU16801100,BU16801100,8.7,0.0,1.6,3.0,25.5,10.0,0.0,0.5,2.0,19.5,8.0,10.6,0.3,3.0,17.2,6.3
34,BU16801109,BU16801109,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .
35,WK168012,WK168012,7.8,0.0,1.0,3.0,28.3,11.6,0.0,0.0,2.0,22.3,6.9,13.5,0.0,3.0,17.0,7.6
36,BU16801200,BU16801200,7.8,0.0,1.0,3.0,28.3,11.6,0.0,0.0,2.0,22.3,6.9,13.5,0.0,3.0,17.0,7.6
37,BU16801209,BU16801209,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .
38,WK168013,WK168013,12.2,0.0,0.0,3.9,27.6,15.5,0.0,0.0,2.9,20.6,11.3,10.8,0.0,3.2,20.5,5.4
39,BU16801300,BU16801300,12.2,0.0,0.0,4.0,27.6,15.6,0.0,0.0,3.0,20.5,11.4,10.8,0.0,3.2,20.6,5.4
40,BU16801309,BU16801309,12.1,0.0,0.0,3.6,27.7,15.3,0.0,0.0,2.6,20.7,11.3,10.7,0.0,3.4,20.1,5.3
41,WK168014,WK168014,12.0,0.0,0.0,2.9,32.7,12.0,0.0,0.0,2.0,23.7,11.5,2.5,1.0,3.2,21.0,3.9
42,BU16801400,BU16801400,11.9,0.0,0.0,3.0,32.9,11.8,0.0,0.0,2.0,23.9,11.3,2.1,1.0,3.1,21.0,4.0
43,BU16801401,BU16801401,12.0,0.0,0.0,3.0,31.9,12.0,0.0,0.0,2.0,23.1,11.6,4.4,1.0,3.4,21.0,3.6
44,BU16801409,BU16801409,13.1,0.0,0.1,2.7,31.7,13.1,0.0,0.1,1.9,22.8,12.7,4.1,1.0,4.5,21.0,3.1
45,WK168015,WK168015,7.9,0.0,1.0,2.0,36.1,7.9,0.0,1.0,1.0,27.2,7.4,6.5,1.0,3.2,21.0,1.1
46,BU16801500,BU16801500,7.9,0.0,1.0,2.0,36.1,7.8,0.0,1.0,1.0,27.2,7.4,6.5,1.0,3.2,21.0,1.1
47,BU16801501,BU16801501,9.4,0.0,1.0,2.0,34.7,9.3,0.0,1.0,1.0,26.3,8.9,7.3,1.0,3.4,21.0,1.4
48,BU16801509,BU16801509,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .
49,WK168016,WK168016,4.0,0.8,1.0,2.0,38.4,3.9,0.8,1.0,1.0,27.1,3.5,10.5,0.4,3.1,19.1,4.2
50,BU16801600,BU16801600,3.8,0.9,1.0,2.0,38.5,3.7,0.9,1.0,1.0,27.2,3.3,10.5,0.4,3.1,19.1,4.2
51,BU16801601,BU16801601,5.9,0.2,1.0,2.0,36.8,5.9,0.2,1.0,1.0,26.2,5.4,10.5,0.2,3.0,19.0,4.9
52,BU16801609,BU16801609,7.0,0.0,1.0,2.0,36.5,6.9,0.0,1.0,1.0,28.0,6.5,8.1,1.0,3.0,20.7,2.4
53,WK168017,WK168017,14.8,0.0,0.0,3.0,29.0,15.3,0.0,0.0,2.0,20.0,14.0,6.3,1.0,5.0,21.0,1.4
54,BU16801700,BU16801700,14.9,0.0,0.0,3.0,28.9,15.4,0.0,0.0,2.0,20.0,14.1,6.2,1.0,5.0,21.0,1.3
55,BU16801709,BU16801709,12.8,0.0,0.0,3.2,30.1,13.7,0.0,0.0,2.3,21.8,12.1,7.4,0.8,4.2,21.2,3.2
56,WK168018,WK168018,9.7,0.0,0.5,3.0,31.6,10.1,0.0,0.3,2.0,24.4,9.0,11.3,0.1,3.8,19.2,5.4
57,BU16801800,BU16801800,10.5,0.0,0.0,3.0,31.5,10.5,0.0,0.0,2.0,24.6,9.8,10.9,0.0,4.0,19.6,5.0
58,BU16801801,BU16801801,10.3,0.0,0.4,2.9,33.4,10.2,0.0,0.4,1.8,25.1,9.8,8.8,1.0,3.3,21.0,2.9
59,BU16801802,BU16801802,7.8,0.0,1.7,3.0,31.0,9.2,0.0,0.8,2.0,23.2,7.0,13.6,0.0,3.8,17.7,7.7
60,BU16801809,BU16801809,9.3,0.0,0.9,3.0,32.0,10.1,0.0,0.5,2.0,24.9,8.7,11.1,0.2,3.7,19.1,5.3
61,WK168019,WK168019,7.9,0.0,1.0,1.0,30.1,7.9,0.0,1.0,1.0,15.7,7.1,8.8,1.3,5.3,26.0,1.2
62,BU16801900,BU16801900,7.7,0.0,1.0,1.0,29.8,7.7,0.0,1.0,1.0,15.5,6.9,8.6,1.5,5.3,26.0,0.8
63,BU16801901,BU16801901,6.0,0.0,1.0,1.0,27.8,6.0,0.0,1.0,1.0,13.4,5.2,7.0,2.0,4.0,25.5,2.1
64,BU16801902,BU16801902,6.9,0.0,1.0,1.0,31.3,6.9,0.0,1.0,1.0,16.9,6.1,7.9,2.0,5.0,26.6,2.2
65,BU16801903,BU16801903,5.0,0.5,1.0,1.0,30.0,5.0,0.5,1.0,1.0,15.6,4.3,6.0,2.0,4.9,26.5,3.6
66,BU16801908,BU16801908,9.5,0.0,1.0,1.0,31.6,9.5,0.0,1.0,1.0,17.3,8.7,10.3,0.1,6.0,26.0,2.4
67,BU16801909,BU16801909,8.5,0.1,0.8,1.0,30.4,8.5,0.1,0.8,1.0,16.2,7.8,9.2,0.8,5.1,26.1,2.8
68,WK168020,WK168020,13.8,0.0,0.0,1.6,33.6,13.9,0.0,0.0,1.2,21.5,13.4,8.8,0.8,5.0,26.2,6.2
69,BU16802000,BU16802000,13.1,0.0,0.0,1.3,34.0,13.1,0.0,0.0,1.0,21.2,12.6,9.3,1.0,5.0,26.3,6.3
70,BU16802001,BU16802001,16.3,0.0,0.0,2.0,30.3,16.9,0.0,0.0,1.1,22.0,16.2,10.1,0.3,5.0,26.9,6.4
71,BU16802008,BU16802008,13.8,0.0,0.0,2.0,35.9,13.8,0.0,0.0,2.0,21.6,13.0,5.8,1.0,5.0,25.2,5.8
72,BU16802009,BU16802009,13.6,0.0,0.0,1.5,32.4,14.0,0.0,0.0,1.1,21.6,13.5,9.7,0.5,4.9,26.4,6.2
73,WK168021,WK168021,7.8,0.0,1.0,1.0,31.9,7.8,0.0,1.0,1.0,19.4,7.8,8.6,1.7,4.1,27.2,5.2
74,BU16802100,BU16802100,7.4,0.0,1.0,1.0,32.2,7.4,0.0,1.0,1.0,19.2,7.5,8.3,2.0,4.0,27.0,5.0
75,BU16802101,BU16802101,8.8,0.0,1.0,1.0,31.1,8.8,0.0,1.0,1.0,20.7,8.9,9.8,0.8,4.0,27.5,6.3
76,BU16802109,BU16802109,7.8,0.0,1.0,1.0,31.9,7.9,0.0,0.9,1.0,18.8,7.7,8.5,1.8,4.2,27.2,5.0
77,GM0358,GM0358,7.6,0.0,4.1,42.0,7.6,8.8,0.0,0.7,12.2,4.7,4.0,3.7,2.4,14.9,73.6,2.9
78,WK035800,WK035800,6.8,0.0,4.7,48.0,6.8,6.9,0.0,1.0,14.4,5.3,4.1,3.2,2.7,16.4,74.0,1.6
79,BU03580000,BU03580000,5.8,0.0,4.7,47.9,5.8,5.9,0.0,1.0,14.0,6.0,4.2,4.0,3.0,16.8,74.0,2.2
80,BU03580001,BU03580001,6.7,0.0,5.3,50.2,6.7,6.9,0.0,1.0,15.1,5.0,3.7,2.7,2.9,17.1,74.3,1.3
81,BU03580004,BU03580004,7.8,0.0,3.7,47.1,7.8,8.0,0.0,1.0,14.5,4.6,4.3,2.9,2.0,15.4,74.0,1.0
82,BU03580005,BU03580005,7.5,0.0,3.0,34.2,7.5,7.6,0.0,1.0,9.9,7.2,5.6,5.2,2.5,13.2,71.2,3.2
83,WK035801,WK035801,10.5,0.0,0.2,23.4,10.5,10.6,0.0,0.1,6.3,6.2,6.9,4.5,2.0,13.3,75.8,3.8
84,BU03580100,BU03580100,10.5,0.0,0.2,23.4,10.5,10.6,0.0,0.1,6.3,6.2,6.9,4.5,2.0,13.3,75.8,3.8
85,WK035802,WK035802,6.1,0.1,6.8,50.9,6.1,9.5,0.0,0.8,14.8,2.6,1.2,3.8,2.3,14.4,71.2,3.9
86,BU03580200,BU03580200,6.6,0.0,7.1,53.2,6.6,7.8,0.0,1.0,15.4,3.7,2.1,4.3,2.4,16.2,71.8,3.6
87,BU03580201,BU03580201,7.2,0.0,6.1,51.8,7.2,9.0,0.0,0.8,14.4,3.7,1.6,2.6,2.1,15.1,72.5,2.9
88,BU03580205,BU03580205,6.0,0.1,6.9,50.3,6.0,9.7,0.0,0.8,14.7,2.4,1.0,3.8,2.3,14.1,71.0,4.1
89,BU03580206,BU03580206,5.2,0.8,6.4,53.6,5.2,10.3,0.0,0.3,16.0,2.0,2.4,5.8,3.1,14.1,69.4,5.7
90,GM0197,GM0197,10.9,0.0,0.6,2.9,46.6,14.5,0.0,0.1,1.2,13.9,4.4,14.2,0.1,1.5,10.3,1.7
91,WK019701,WK019701,11.8,0.0,0.1,3.1,47.1,13.9,0.0,0.1,1.4,12.9,4.2,12.4,0.2,2.0,10.6,3.9
92,BU01970101,BU01970101,10.5,0.0,0.0,4.1,42.3,11.2,0.0,0.0,1.0,11.5,4.0,7.9,1.0,3.0,11.0,3.9
93,BU01970102,BU01970102,11.1,0.0,0.2,3.8,42.5,11.8,0.0,0.0,1.0,12.1,4.5,7.6,1.0,2.9,11.6,3.5
94,BU01970103,BU01970103,13.6,0.0,0.0,3.0,48.4,13.7,0.0,0.0,1.0,14.1,2.8,14.1,0.0,2.0,10.0,3.4
95,BU01970104,BU01970104,12.1,0.0,0.0,3.0,50.4,17.5,0.0,0.0,1.0,16.6,5.4,16.5,0.0,1.3,9.0,4.8
96,BU01970105,BU01970105,12.2,0.0,0.0,3.0,51.4,17.6,0.0,0.0,1.0,17.1,5.4,17.0,0.0,1.0,8.0,5.3
97,BU01970106,BU01970106,11.2,0.0,0.0,4.0,49.1,16.5,0.0,0.0,3.0,12.0,5.2,14.0,0.0,2.0,11.0,5.5
98,BU01970107,BU01970107,13.4,0.0,0.0,3.1,47.9,14.4,0.0,0.0,1.1,14.3,2.7,12.7,0.0,2.0,10.8,3.3
99,BU01970108,BU01970108,11.6,0.0,0.2,3.8,48.4,16.6,0.0,0.0,2.6,12.2,5.5,13.9,0.0,1.8,11.0,5.1
100,BU01970109,BU01970109,14.1,0.0,0.0,3.4,45.0,14.7,0.0,0.0,1.4,11.9,5.1,9.3,0.5,2.4,12.0,4.5
101,BU01970110,BU01970110,12.6,0.0,0.0,3.0,45.2,12.7,0.0,0.0,1.0,12.7,2.4,10.1,0.5,2.0,11.4,2.3
102,BU01970111,BU01970111,10.1,0.0,0.4,2.1,47.3,10.0,0.0,0.5,1.0,10.4,4.1,12.7,0.0,2.0,10.0,3.5
103,BU01970112,BU01970112,8.2,0.0,1.0,1.0,46.0,8.1,0.0,1.0,1.0,8.5,5.4,11.2,0.0,2.0,10.0,4.8
104,WK019702,WK019702,9.0,0.0,0.9,2.3,44.0,9.0,0.0,0.9,1.0,9.3,4.1,10.0,0.5,2.1,11.0,3.3
105,BU01970201,BU01970201,8.7,0.0,1.0,3.1,42.3,9.4,0.0,0.8,1.0,9.6,5.1,8.6,1.1,2.9,11.0,4.2
106,BU01970202,BU01970202,10.1,0.0,0.3,3.0,44.1,10.0,0.0,0.5,1.0,10.4,2.8,9.8,0.7,2.0,11.0,2.1
107,BU01970203,BU01970203,8.9,0.0,0.9,2.1,44.8,8.8,0.0,0.9,1.0,9.2,4.3,11.1,0.0,2.0,10.7,3.6
108,BU01970204,BU01970204,8.8,0.0,1.0,2.1,44.2,8.8,0.0,1.0,1.0,9.2,4.1,10.1,0.4,2.0,11.0,3.3
109,WK019703,WK019703,12.5,0.0,0.0,3.0,46.2,12.4,0.0,0.0,1.0,12.8,1.0,11.8,0.0,2.0,10.5,1.2
110,BU01970301,BU01970301,12.8,0.0,0.0,3.0,46.3,12.7,0.0,0.0,1.0,13.1,1.0,11.8,0.0,2.0,11.0,1.5
111,BU01970302,BU01970302,12.9,0.0,0.0,3.0,46.8,12.8,0.0,0.0,1.0,13.2,0.8,12.4,0.0,2.0,10.0,1.4
112,BU01970303,BU01970303,12.9,0.0,0.0,3.0,46.9,12.8,0.0,0.0,1.0,13.2,1.4,12.6,0.0,2.0,10.0,1.8
113,BU01970304,BU01970304,11.6,0.0,0.0,3.0,45.4,11.6,0.0,0.0,1.0,12.0,1.1,11.0,0.0,2.0,10.9,0.7
114,BU01970305,BU01970305,13.6,0.0,0.0,3.0,46.9,13.5,0.0,0.0,1.0,13.9,1.8,11.7,0.0,2.0,11.0,2.3
115,BU01970306,BU01970306,12.0,0.0,0.0,3.0,46.2,12.0,0.0,0.0,1.0,12.4,1.1,11.9,0.0,2.0,10.0,0.7
116,BU01970307,BU01970307,12.1,0.0,0.0,3.0,45.9,12.1,0.0,0.0,1.0,12.5,0.5,11.5,0.0,2.0,10.3,0.7
117,WK019704,WK019704,8.4,0.0,1.7,2.8,47.6,19.5,0.0,0.0,1.6,17.1,9.9,20.0,0.0,0.4,9.9,1.1
118,BU01970400,BU01970400,8.7,0.0,1.5,2.4,47.9,19.9,0.0,0.0,1.0,17.8,10.0,20.6,0.0,0.0,9.9,0.9
119,BU01970401,BU01970401,8.1,0.0,2.0,3.0,47.3,19.3,0.0,0.0,2.0,17.2,9.9,20.1,0.0,0.4,10.0,0.6
120,BU01970402,BU01970402,8.1,0.0,2.0,3.0,47.3,19.3,0.0,0.0,2.0,17.3,10.8,20.1,0.0,0.4,10.0,0.7
121,BU01970403,BU01970403,8.2,0.0,2.0,3.3,47.4,19.3,0.0,0.0,2.4,14.4,8.1,18.2,0.0,1.2,10.0,3.1
122,BU01970408,BU01970408,8.5,0.0,1.6,2.6,47.7,19.5,0.0,0.0,1.2,16.9,9.4,19.7,0.0,1.0,9.4,1.4
123,BU01970409,BU01970409,9.0,0.0,1.2,3.2,48.2,19.0,0.0,0.0,1.8,14.8,7.6,17.7,0.0,1.2,9.3,3.8
124,GM0059,GM0059,13.1,0.0,0.1,2.1,15.2,14.7,0.0,0.1,0.9,14.8,7.0,12.7,0.2,3.1,20.8,2.4
125,WK005900,WK005900,14.1,0.0,0.0,1.9,18.9,18.5,0.0,0.0,0.7,13.4,3.9,11.2,0.4,3.0,19.4,2.1
126,BU00590000,BU00590000,13.8,0.0,0.0,1.1,20.6,20.2,0.0,0.0,0.3,15.1,0.9,12.1,0.0,2.0,20.4,0.8
127,BU00590001,BU00590001,13.9,0.0,0.0,3.0,17.0,16.6,0.0,0.0,1.0,10.6,4.4,9.8,1.0,4.6,17.7,4.5
128,BU00590002,BU00590002,14.7,0.0,0.0,3.0,14.7,14.3,0.0,0.0,1.0,11.6,7.4,11.4,0.0,4.1,20.0,2.5
129,BU00590003,BU00590003,12.0,0.0,0.0,2.5,19.7,19.3,0.0,0.0,1.3,9.6,7.7,6.4,2.0,4.0,17.0,1.7
130,BU00590004,BU00590004,18.1,0.0,0.0,1.0,20.4,20.0,0.0,0.0,0.4,19.8,5.7,16.8,0.0,2.0,19.5,5.6
131,BU00590005,BU00590005,14.4,0.0,0.0,1.8,20.1,19.7,0.0,0.0,0.7,15.3,2.2,12.6,0.0,2.2,19.9,2.2
132,BU00590006,BU00590006,12.4,0.0,0.0,3.2,18.4,18.0,0.0,0.0,1.0,11.5,4.1,8.9,1.0,3.3,17.1,4.4
133,BU00590007,BU00590007,15.2,0.0,0.0,3.2,15.9,15.5,0.0,0.0,1.1,10.3,6.2,10.1,0.8,4.5,18.7,3.9
134,BU00590008,BU00590008,13.1,0.0,0.0,3.2,19.1,18.7,0.0,0.0,1.3,8.7,6.9,7.4,2.0,4.1,17.0,2.8
135,BU00590009,BU00590009,18.2,0.0,0.0,1.4,20.5,20.1,0.0,0.0,0.4,19.8,5.7,16.9,0.0,1.7,19.5,5.5
136,WK005901,WK005901,14.2,0.0,0.0,2.8,14.4,13.9,0.0,0.0,1.0,15.2,7.6,14.7,0.0,3.3,21.0,2.6
137,BU00590100,BU00590100,19.0,0.0,0.0,1.4,20.1,19.6,0.0,0.0,0.9,20.9,6.6,17.8,0.0,2.0,19.7,6.5
138,BU00590102,BU00590102,12.5,0.0,0.0,3.0,12.5,12.0,0.0,0.0,1.0,13.1,9.0,12.9,0.0,3.8,20.6,0.6
139,BU00590103,BU00590103,15.4,0.0,0.0,3.0,15.4,14.9,0.0,0.0,1.0,16.8,5.8,16.6,0.0,3.0,22.0,4.1
140,BU00590107,BU00590107,19.0,0.0,0.0,2.5,19.0,18.6,0.0,0.0,1.0,21.1,7.0,18.2,0.0,2.3,20.0,6.6
141,BU00590108,BU00590108,12.1,0.0,0.0,2.8,12.1,11.8,0.0,0.0,1.0,12.9,9.2,12.8,0.0,3.2,20.6,1.8
142,BU00590109,BU00590109,16.1,0.0,0.0,2.8,16.8,16.4,0.0,0.0,1.0,16.5,5.4,15.5,0.0,2.8,21.3,3.9
143,WK005902,WK005902,11.8,0.0,0.2,2.1,11.8,11.4,0.0,0.1,1.0,16.0,9.7,13.5,0.0,3.2,22.0,2.6
144,BU00590200,BU00590200,12.3,0.0,0.0,2.0,12.3,11.8,0.0,0.0,1.0,16.6,10.2,13.2,0.0,3.6,22.0,1.4
145,BU00590201,BU00590201,11.2,0.0,0.0,2.0,11.2,10.8,0.0,0.1,1.0,14.6,10.1,14.2,0.0,3.0,21.9,3.4
146,BU00590202,BU00590202,15.2,0.0,0.0,2.9,15.2,14.7,0.0,0.0,1.0,18.4,6.6,15.5,0.0,3.3,22.0,3.6
147,BU00590203,BU00590203,9.1,0.0,1.9,2.0,9.1,8.6,0.0,1.0,1.0,15.5,8.9,10.4,0.0,2.2,23.0,4.6
148,BU00590206,BU00590206,11.2,0.0,0.2,2.0,11.2,10.7,0.0,0.3,1.0,16.6,10.6,12.4,0.0,2.7,22.3,2.2
149,BU00590207,BU00590207,10.9,0.0,0.7,2.0,10.9,10.5,0.0,0.4,1.0,14.3,9.1,13.8,0.0,3.0,21.7,3.3
150,BU00590208,BU00590208,15.0,0.0,0.0,2.1,15.0,14.6,0.0,0.0,1.0,18.5,8.1,15.6,0.0,3.0,21.6,3.7
151,BU00590209,BU00590209,8.0,0.0,2.0,2.0,8.0,7.6,0.0,1.0,1.0,14.9,7.8,10.3,0.3,2.5,22.6,5.1
152,GM0482,GM0482,5.4,0.5,2.7,23.7,10.1,1.4,1.0,1.5,10.9,11.3,1.4,10.0,0.6,8.8,61.8,1.6
153,WK048201,WK048201,4.9,1.0,3.1,23.7,9.7,0.7,1.0,1.8,11.0,10.8,0.7,9.3,1.0,9.1,61.9,0.9
154,BU04820101,BU04820101,5.3,0.1,2.1,24.0,10.2,0.8,1.0,1.2,11.0,11.3,1.0,9.7,1.0,9.3,61.1,1.1
155,BU04820102,BU04820102,5.0,0.8,2.7,23.6,9.9,0.8,1.0,1.7,11.0,11.0,0.6,9.5,1.0,9.0,61.7,0.9
156,BU04820103,BU04820103,4.6,1.3,3.8,23.3,9.5,0.8,1.0,2.0,11.0,10.6,0.6,9.3,1.0,9.0,62.4,0.9
157,BU04820104,BU04820104,4.3,2.0,4.0,23.5,9.1,0.6,1.0,2.4,11.0,10.3,0.6,8.8,1.0,9.0,62.7,0.6
158,BU04820105,BU04820105,5.0,0.9,2.8,24.0,9.9,0.4,1.0,1.8,11.0,11.0,0.7,9.3,1.0,9.0,61.7,0.8
159,WK048202,WK048202,6.6,0.0,2.1,24.1,10.9,2.1,1.0,1.0,11.0,12.6,2.3,11.1,0.0,10.0,62.4,2.5
160,BU04820201,BU04820201,6.7,0.0,2.6,24.5,10.4,2.1,1.0,1.0,11.0,12.7,2.2,11.0,0.0,10.0,62.1,2.4
161,BU04820202,BU04820202,6.8,0.0,2.0,24.0,10.9,2.3,1.0,1.0,11.0,12.8,2.5,11.3,0.0,10.0,62.1,2.7
162,BU04820203,BU04820203,6.1,0.0,2.0,24.0,11.0,1.8,1.0,1.0,11.0,12.1,1.9,10.8,0.0,10.0,62.7,2.2
163,BU04820204,BU04820204,5.7,0.0,2.0,24.0,10.6,1.1,1.0,1.0,11.0,11.7,1.4,10.1,0.4,10.0,62.2,1.5
164,BU04820205,BU04820205,6.5,0.0,2.0,24.0,11.1,2.0,1.0,1.0,11.0,12.5,2.3,11.0,0.0,10.0,63.0,2.4
165,BU04820206,BU04820206,6.8,0.0,2.0,24.0,10.8,2.1,1.0,1.0,11.0,12.7,2.4,11.1,0.0,10.0,62.2,2.5
166,WK048203,WK048203,5.4,0.1,2.2,23.9,10.3,1.4,1.0,1.2,11.0,11.4,1.3,10.1,0.3,8.6,61.1,1.6
167,BU04820301,BU04820301,5.8,0.0,2.0,24.0,10.6,1.7,1.0,1.0,11.0,11.8,1.7,10.5,0.0,8.0,60.5,2.0
168,BU04820302,BU04820302,5.6,0.0,2.0,24.0,10.4,1.6,1.0,1.0,11.0,11.6,1.5,10.3,0.0,8.0,60.8,1.8
169,BU04820303,BU04820303,5.5,0.0,2.0,23.3,10.4,1.8,1.0,1.0,11.0,11.5,1.6,10.3,0.1,7.7,60.7,1.8
170,BU04820304,BU04820304,5.2,0.0,2.2,23.5,10.1,1.3,1.0,1.2,11.0,11.2,1.2,9.9,0.6,8.1,61.2,1.4
171,BU04820305,BU04820305,4.9,0.8,3.1,24.0,9.8,0.9,1.0,1.9,11.0,10.9,0.8,9.6,1.0,9.0,61.9,1.0
172,BU04820306,BU04820306,5.3,0.0,2.1,24.0,10.2,1.3,1.0,1.2,11.0,11.3,1.1,10.0,0.6,8.6,61.1,1.4
173,BU04820307,BU04820307,5.7,0.0,2.0,24.0,10.6,1.4,1.0,1.0,11.0,11.7,1.5,10.4,0.0,9.5,61.2,1.8
174,WK048204,WK048204,4.7,0.9,3.5,23.2,9.5,1.4,1.0,2.1,10.7,10.7,1.2,9.4,1.0,7.8,62.3,1.5
175,BU04820401,BU04820401,5.0,0.6,2.9,23.0,9.9,1.7,1.0,1.9,10.5,11.0,1.5,9.7,0.9,6.5,61.9,1.8
176,BU04820402,BU04820402,4.6,1.0,3.8,23.2,9.5,1.3,1.0,2.0,11.0,10.6,1.1,9.3,1.0,8.4,62.5,1.4
177,BU04820403,BU04820403,3.9,1.1,4.0,23.0,8.8,1.6,1.0,3.0,10.0,9.9,1.5,8.7,1.0,8.1,63.0,1.6
178,BU04820404,BU04820404,4.7,1.0,3.6,23.8,9.6,1.1,1.0,2.0,11.0,10.7,0.9,9.5,1.0,9.0,62.2,1.2
