ID,DistrictsAndNeighbourhoods,Encoding_3,DistanceToPerformingArts_99,Within5Km_100,Within10Km_101,Within20Km_102,DistanceToPopMusicVenue_103,DistanceToCinema_104,Within5Km_105,Within10Km_106,Within20Km_107,DistanceToSauna_108,DistanceToTanningSalon_109,DistanceToAttraction_110,Within10Km_111,Within20Km_112,Within50Km_113,DistanceToFireStation_114
8518,BU06770103,BU06770103,20.5,0.0,0.0,0.2,20.5,2.0,1.0,1.0,1.1,4.1,19.2,41.3,0.0,0.0,4.6,3.9
8519,BU06770104,BU06770104,20.1,0.0,0.0,0.2,20.1,2.1,1.0,1.0,1.1,4.4,18.8,40.9,0.0,0.0,5.0,3.3
8520,BU06770105,BU06770105,20.0,0.0,0.0,0.7,20.0,2.1,1.0,1.0,1.5,4.4,18.7,40.8,0.0,0.0,5.0,2.9
8521,BU06770106,BU06770106,19.8,0.0,0.0,1.1,19.8,1.5,1.0,1.0,1.7,3.8,18.5,40.6,0.0,0.0,5.0,2.7
8522,BU06770107,BU06770107,22.0,0.0,0.0,0.0,22.0,2.3,1.0,1.0,1.0,2.2,20.7,42.8,0.0,0.0,3.0,2.9
8523,BU06770108,BU06770108,21.5,0.0,0.0,0.0,21.5,1.3,1.0,1.0,1.0,2.2,20.3,42.4,0.0,0.0,3.2,1.8
8524,BU06770109,BU06770109,20.9,0.0,0.0,0.0,20.9,0.9,1.0,1.0,1.0,2.5,19.6,41.8,0.0,0.0,4.2,1.1
8525,BU06770110,BU06770110,20.7,0.0,0.0,0.0,20.7,2.6,1.0,1.0,1.0,2.9,19.4,41.5,0.0,0.0,4.9,0.8
8526,BU06770111,BU06770111,18.8,0.0,0.0,1.2,18.8,4.0,0.8,1.0,1.6,5.5,17.4,39.6,0.0,0.0,5.8,4.0
8527,WK067702,WK067702,22.1,0.0,0.0,0.0,22.1,2.7,1.0,1.0,1.0,1.8,20.7,43.0,0.0,0.0,3.0,2.3
8528,BU06770201,BU06770201,21.9,0.0,0.0,0.0,21.9,2.6,1.0,1.0,1.0,2.0,20.6,42.8,0.0,0.0,3.0,2.1
8529,BU06770202,BU06770202,22.5,0.0,0.0,0.0,22.5,2.6,1.0,1.0,1.0,1.5,21.1,43.3,0.0,0.0,3.0,2.3
8530,BU06770203,BU06770203,22.0,0.0,0.0,0.0,22.0,3.1,1.0,1.0,1.0,2.0,20.4,42.8,0.0,0.0,3.0,2.8
8531,BU06770204,BU06770204,22.5,0.0,0.0,0.0,22.5,3.8,1.0,1.0,1.0,2.7,20.9,43.3,0.0,0.0,3.0,3.4
8532,WK067703,WK067703,24.2,0.0,0.0,0.0,24.2,4.4,0.9,1.0,1.0,2.4,22.9,45.0,0.0,0.0,2.9,4.7
8533,BU06770301,BU06770301,23.9,0.0,0.0,0.0,23.9,4.2,1.0,1.0,1.0,2.7,22.6,44.7,0.0,0.0,3.0,4.8
8534,BU06770302,BU06770302,24.7,0.0,0.0,0.0,24.7,4.6,0.8,1.0,1.0,1.8,23.4,45.5,0.0,0.0,2.7,4.5
8535,BU06770303,BU06770303,24.4,0.0,0.0,0.0,24.4,4.9,0.5,1.0,1.0,4.4,23.1,45.2,0.0,0.0,2.6,5.5
8536,WK067704,WK067704,23.5,0.0,0.0,0.0,23.5,7.5,0.0,0.9,1.0,9.6,22.2,44.3,0.0,0.0,3.0,9.1
8537,BU06770401,BU06770401,23.6,0.0,0.0,0.0,23.6,7.6,0.0,1.0,1.0,9.7,22.3,44.4,0.0,0.0,3.0,9.7
8538,BU06770402,BU06770402,24.1,0.0,0.0,0.0,24.1,10.4,0.0,0.0,1.0,12.5,22.8,44.9,0.0,0.0,3.0,8.4
8539,BU06770403,BU06770403,23.1,0.0,0.0,0.0,23.1,6.4,0.0,1.0,1.0,8.5,21.8,43.9,0.0,0.0,3.0,8.0
8540,WK067705,WK067705,20.8,0.0,0.0,0.1,20.8,5.2,0.5,1.0,1.0,4.1,19.2,41.6,0.0,0.0,4.8,4.4
8541,BU06770501,BU06770501,20.8,0.0,0.0,0.1,20.8,5.2,0.5,1.0,1.0,4.1,19.3,41.6,0.0,0.0,4.8,4.4
8542,BU06770502,BU06770502,19.9,0.0,0.0,1.0,19.9,5.2,0.4,1.0,1.5,4.9,18.4,40.7,0.0,0.0,4.8,4.3
8543,WK067706,WK067706,28.6,0.0,0.0,0.0,28.6,9.7,0.0,0.9,1.0,8.9,27.3,49.4,0.0,0.0,0.9,10.5
8544,BU06770601,BU06770601,28.7,0.0,0.0,0.0,28.7,9.5,0.0,1.0,1.0,8.5,27.4,49.5,0.0,0.0,1.0,10.1
8545,BU06770602,BU06770602,28.3,0.0,0.0,0.0,28.3,10.8,0.0,0.3,1.0,11.0,27.0,49.2,0.0,0.0,0.7,12.1
8546,WK067707,WK067707,23.6,0.0,0.0,0.0,23.6,3.6,1.0,1.0,1.0,1.2,22.0,44.4,0.0,0.0,3.0,3.4
8547,BU06770701,BU06770701,23.6,0.0,0.0,0.0,23.6,3.6,1.0,1.0,1.0,1.2,22.0,44.4,0.0,0.0,3.0,3.4
8548,BU06770702,BU06770702,23.3,0.0,0.0,0.0,23.3,3.1,1.0,1.0,1.0,0.4,21.9,44.1,0.0,0.0,3.0,3.0
8549,WK067708,WK067708,17.8,0.0,0.0,1.9,17.8,11.7,0.0,0.0,1.9,14.0,16.7,38.6,0.0,0.0,5.2,1.2
8550,BU06770801,BU06770801,17.5,0.0,0.0,2.0,17.5,12.2,0.0,0.0,2.0,14.5,16.4,38.3,0.0,0.0,5.0,1.3
8551,BU06770802,BU06770802,17.1,0.0,0.0,2.0,17.1,11.7,0.0,0.0,2.0,14.0,16.0,37.9,0.0,0.0,5.6,0.8
8552,BU06770803,BU06770803,17.9,0.0,0.0,2.0,17.9,11.6,0.0,0.0,2.0,13.8,16.8,38.7,0.0,0.0,5.0,0.6
8553,BU06770804,BU06770804,17.9,0.0,0.0,2.0,17.9,10.6,0.0,0.0,2.0,12.8,16.7,38.7,0.0,0.0,5.0,0.6
8554,BU06770805,BU06770805,20.6,0.0,0.0,0.6,20.6,10.6,0.0,0.2,1.3,12.9,19.4,41.5,0.0,0.0,4.3,4.3
8555,WK067709,WK067709,20.2,0.0,0.0,0.3,20.2,8.2,0.0,1.0,1.2,10.6,18.9,41.0,0.0,0.0,4.9,5.0
8556,BU06770901,BU06770901,20.1,0.0,0.0,0.2,20.1,8.2,0.0,1.0,1.2,10.6,18.8,40.9,0.0,0.0,5.0,4.9
8557,BU06770902,BU06770902,20.5,0.0,0.0,0.5,20.5,8.1,0.0,1.0,1.2,10.5,19.2,41.3,0.0,0.0,4.2,5.3
8558,WK067710,WK067710,17.4,0.0,0.0,2.0,17.4,5.1,0.3,1.0,2.0,7.4,16.1,38.2,0.0,0.0,6.5,4.8
