ID,DistrictsAndNeighbourhoods,Encoding_3,DistanceToLargeSupermarket_24,Within1Km_25,Within3Km_26,Within5Km_27,DistanceToShopForOtherDailyFood_28,DistanceToDepartmentStore_32,Within5Km_33,Within10Km_34,Within20Km_35,DistanceToCafeEtc_36,Within1Km_37,Within3Km_38,Within5Km_39,DistanceToCafeteriaEtc_40,Within1Km_41,Within3Km_42,Within5Km_43
39,BU16801300,BU16801300,4.6,0.0,0.0,1.9,4.6,4.9,0.5,1.0,8.0,3.8,0.0,0.0,2.8,       .,       .,       .,       .
40,BU16801309,BU16801309,4.4,0.0,0.0,1.8,4.6,4.9,0.5,1.0,8.0,3.6,0.0,0.4,2.6,       .,       .,       .,       .
41,WK168014,WK168014,3.8,0.0,0.2,2.8,0.8,4.0,1.0,2.0,6.9,4.1,0.0,0.1,2.6,       .,       .,       .,       .
42,BU16801400,BU16801400,4.0,0.0,0.0,2.9,0.5,4.1,1.0,2.0,7.0,4.2,0.0,0.0,2.7,       .,       .,       .,       .
43,BU16801401,BU16801401,3.4,0.0,0.2,3.0,2.4,3.5,1.0,2.0,7.0,3.6,0.0,0.0,3.0,       .,       .,       .,       .
44,BU16801409,BU16801409,2.8,0.0,1.4,1.7,1.9,3.3,0.7,2.1,6.6,3.2,0.0,1.0,1.7,       .,       .,       .,       .
45,WK168015,WK168015,0.8,0.8,1.0,1.1,0.7,7.5,0.0,2.6,5.4,0.8,0.8,1.0,1.0,       .,       .,       .,       .
46,BU16801500,BU16801500,0.7,0.8,1.0,1.1,0.7,7.5,0.0,2.6,5.4,0.7,0.8,1.0,1.0,       .,       .,       .,       .
47,BU16801501,BU16801501,1.5,0.1,1.0,1.0,0.4,7.1,0.0,2.0,6.0,1.5,0.1,1.0,1.3,       .,       .,       .,       .
48,BU16801509,BU16801509,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .
49,WK168016,WK168016,1.9,0.3,2.5,7.1,2.6,4.0,0.8,1.1,5.5,2.5,0.0,2.0,5.9,       .,       .,       .,       .
50,BU16801600,BU16801600,1.8,0.3,2.7,7.5,2.6,3.8,0.9,1.1,5.5,2.4,0.0,2.1,6.3,       .,       .,       .,       .
51,BU16801601,BU16801601,3.7,0.0,0.3,2.6,3.6,5.9,0.2,1.5,5.3,4.1,0.0,0.0,1.9,       .,       .,       .,       .
52,BU16801609,BU16801609,2.3,0.0,0.7,1.7,2.0,7.0,0.0,2.0,5.3,2.3,0.0,0.7,1.0,       .,       .,       .,       .
53,WK168017,WK168017,0.8,1.4,2.0,2.8,0.8,0.9,1.0,1.3,7.3,0.9,1.1,2.0,2.0,       .,       .,       .,       .
54,BU16801700,BU16801700,0.8,1.4,2.0,2.9,0.7,0.8,1.0,1.3,7.3,0.9,1.2,2.0,2.0,       .,       .,       .,       .
55,BU16801709,BU16801709,3.0,0.0,1.2,2.3,2.9,3.1,0.9,1.3,7.5,2.6,0.0,1.2,2.3,       .,       .,       .,       .
56,WK168018,WK168018,5.0,0.0,0.0,0.4,2.5,6.9,0.0,1.5,7.0,2.3,0.0,0.8,1.5,       .,       .,       .,       .
57,BU16801800,BU16801800,5.1,0.0,0.0,0.3,3.1,6.6,0.0,1.0,7.0,2.0,0.0,1.0,1.3,       .,       .,       .,       .
58,BU16801801,BU16801801,3.0,0.0,0.4,1.0,1.0,5.9,0.0,1.4,6.9,2.9,0.0,0.4,2.0,       .,       .,       .,       .
59,BU16801802,BU16801802,5.2,0.0,0.0,0.4,1.5,8.0,0.0,2.6,7.1,2.7,0.0,0.8,1.7,       .,       .,       .,       .
60,BU16801809,BU16801809,5.3,0.0,0.0,0.4,2.6,7.2,0.0,1.8,7.0,2.3,0.3,0.6,1.5,       .,       .,       .,       .
61,WK168019,WK168019,1.2,0.8,2.0,2.5,0.8,7.3,0.0,2.7,7.0,5.2,0.0,0.0,0.5,       .,       .,       .,       .
62,BU16801900,BU16801900,0.8,1.1,2.0,2.3,0.8,7.1,0.0,2.9,6.9,5.3,0.0,0.0,0.3,       .,       .,       .,       .
63,BU16801901,BU16801901,1.7,0.0,2.0,5.3,0.4,5.4,0.0,2.5,7.4,4.5,0.0,0.0,1.4,       .,       .,       .,       .
64,BU16801902,BU16801902,2.5,0.0,2.0,3.2,2.4,6.3,0.0,2.0,7.0,2.9,0.0,0.6,2.0,       .,       .,       .,       .
65,BU16801903,BU16801903,3.1,0.0,1.0,10.3,2.0,4.5,1.9,3.0,7.0,4.2,0.0,0.0,9.9,       .,       .,       .,       .
66,BU16801908,BU16801908,2.5,0.0,1.9,2.0,0.6,8.9,0.0,2.0,7.0,5.5,0.0,0.0,0.1,       .,       .,       .,       .
67,BU16801909,BU16801909,2.9,0.1,1.3,2.9,1.3,8.0,0.2,2.2,7.0,4.8,0.0,0.0,1.7,       .,       .,       .,       .
68,WK168020,WK168020,6.5,0.0,0.0,0.1,1.9,8.9,0.0,0.7,5.9,5.3,0.0,0.0,0.6,       .,       .,       .,       .
