ID,DistrictsAndNeighbourhoods,Encoding_3,DistanceToLargeSupermarket_24,Within1Km_25,Within3Km_26,Within5Km_27,DistanceToShopForOtherDailyFood_28,DistanceToDepartmentStore_32,Within5Km_33,Within10Km_34,Within20Km_35,DistanceToCafeEtc_36,Within1Km_37,Within3Km_38,Within5Km_39,DistanceToCafeteriaEtc_40,Within1Km_41,Within3Km_42,Within5Km_43
1627,WK0363NA,WK0363NA,0.7,1.4,6.9,17.2,0.7,2.5,3.0,12.2,35.4,1.6,0.1,3.9,17.4,       .,       .,       .,       .
1628,BU0363NA01,BU0363NA01,2.3,0.0,4.7,16.6,2.0,2.9,1.9,9.4,37.7,2.6,0.0,3.2,29.8,       .,       .,       .,       .
1629,BU0363NA02,BU0363NA02,2.0,0.0,4.1,17.1,1.0,2.6,3.0,13.5,33.6,2.7,0.0,2.0,16.7,       .,       .,       .,       .
1630,BU0363NA03,BU0363NA03,0.9,1.0,5.7,16.8,0.9,2.8,3.0,11.7,35.6,1.8,0.0,3.0,16.1,       .,       .,       .,       .
1631,BU0363NA04,BU0363NA04,0.4,2.0,10.0,17.6,0.4,2.2,3.0,11.7,35.0,1.3,0.2,6.8,18.0,       .,       .,       .,       .
1632,BU0363NA05,BU0363NA05,0.5,1.2,8.1,20.0,0.4,1.9,3.0,14.5,34.1,1.2,0.2,4.2,22.6,       .,       .,       .,       .
1633,BU0363NA06,BU0363NA06,0.9,0.7,3.3,16.6,0.9,2.8,3.0,12.2,35.7,2.0,0.0,1.2,16.3,       .,       .,       .,       .
1634,BU0363NA07,BU0363NA07,0.7,1.5,6.4,17.2,0.6,2.5,3.0,12.6,35.5,1.6,0.0,3.3,16.8,       .,       .,       .,       .
1635,WK0363NB,WK0363NB,0.6,0.9,9.6,26.3,0.7,2.0,2.9,16.5,35.9,0.5,1.7,15.7,34.0,       .,       .,       .,       .
1636,BU0363NB01,BU0363NB01,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .
1637,BU0363NB02,BU0363NB02,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .
1638,BU0363NB03,BU0363NB03,0.5,1.0,8.7,25.0,0.5,0.3,3.8,16.4,35.6,0.7,1.0,10.3,28.6,       .,       .,       .,       .
1639,BU0363NB04,BU0363NB04,1.0,0.7,11.8,29.9,0.9,2.6,2.4,16.6,36.0,0.6,2.3,19.0,46.3,       .,       .,       .,       .
1640,BU0363NB05,BU0363NB05,1.2,0.1,13.9,32.7,1.1,2.0,3.0,18.0,36.0,0.3,2.9,20.6,43.2,       .,       .,       .,       .
1641,BU0363NB06,BU0363NB06,1.3,0.4,14.6,29.4,1.0,1.6,3.0,17.3,36.0,0.9,1.2,18.7,30.2,       .,       .,       .,       .
1642,BU0363NB07,BU0363NB07,0.3,1.2,7.5,23.3,0.6,3.4,2.0,15.8,36.0,0.4,1.6,17.6,30.3,       .,       .,       .,       .
1643,WK0363NC,WK0363NC,0.9,0.7,5.8,23.0,0.5,1.4,3.4,15.5,34.8,1.5,0.1,5.8,25.5,       .,       .,       .,       .
1644,BU0363NC01,BU0363NC01,1.8,0.0,5.0,17.5,0.7,2.2,3.0,14.2,33.3,2.4,0.0,2.0,17.2,       .,       .,       .,       .
1645,BU0363NC02,BU0363NC02,1.1,0.4,5.3,22.8,0.2,1.4,3.4,15.4,34.5,1.6,0.0,3.5,25.7,       .,       .,       .,       .
1646,BU0363NC03,BU0363NC03,0.9,0.9,7.3,24.4,0.8,1.1,3.7,16.0,35.3,1.2,0.4,7.8,27.7,       .,       .,       .,       .
1647,BU0363NC04,BU0363NC04,0.3,1.0,4.9,23.4,0.3,1.7,3.0,15.3,35.0,1.3,0.1,7.9,25.3,       .,       .,       .,       .
1648,WK0363ND,WK0363ND,1.0,0.6,8.8,22.4,0.9,1.9,3.4,13.8,34.3,0.7,0.9,5.7,23.4,       .,       .,       .,       .
1649,BU0363ND01,BU0363ND01,0.6,1.3,8.5,20.7,0.5,1.7,3.2,13.1,34.1,0.9,0.8,4.8,20.4,       .,       .,       .,       .
1650,BU0363ND02,BU0363ND02,1.1,0.3,8.9,23.1,1.0,1.9,3.5,14.1,34.4,0.6,0.9,6.1,24.7,       .,       .,       .,       .
1651,WK0363NE,WK0363NE,0.8,1.9,10.5,29.0,0.6,2.9,3.0,15.3,35.9,0.7,0.8,12.0,27.1,       .,       .,       .,       .
1652,BU0363NE01,BU0363NE01,0.7,2.9,6.1,29.0,0.7,3.1,3.0,14.2,35.7,0.8,0.9,9.0,27.0,       .,       .,       .,       .
1653,BU0363NE02,BU0363NE02,1.2,0.4,8.3,29.0,1.1,3.2,3.0,15.0,35.8,0.7,0.8,8.1,26.9,       .,       .,       .,       .
1654,BU0363NE03,BU0363NE03,0.6,2.9,11.4,29.0,0.2,2.8,3.0,15.5,36.0,0.6,1.0,14.0,27.1,       .,       .,       .,       .
1655,BU0363NE04,BU0363NE04,0.8,1.9,13.4,29.0,0.4,2.8,3.0,15.8,36.0,0.8,0.8,14.1,27.1,       .,       .,       .,       .
1656,BU0363NE05,BU0363NE05,1.4,0.0,15.8,29.2,1.0,1.9,3.1,16.6,36.0,1.0,0.5,18.8,27.4,       .,       .,       .,       .
1657,BU0363NE06,BU0363NE06,1.6,0.0,18.0,29.8,0.7,2.4,2.7,16.3,36.0,1.2,0.0,20.7,31.3,       .,       .,       .,       .
1658,WK0363NF,WK0363NF,1.3,0.2,16.7,30.4,0.5,1.8,2.0,17.9,35.4,0.7,1.0,18.5,63.7,       .,       .,       .,       .
1659,BU0363NF01,BU0363NF01,1.5,0.0,19.5,35.2,0.6,1.9,2.9,18.0,36.0,1.1,0.1,22.8,50.7,       .,       .,       .,       .
1660,BU0363NF02,BU0363NF02,1.3,0.0,21.9,37.2,0.7,1.7,2.6,19.0,36.0,1.3,0.0,22.9,106.7,       .,       .,       .,       .
1661,BU0363NF03,BU0363NF03,1.2,0.3,15.6,30.6,0.5,1.8,2.0,18.2,35.7,0.5,1.4,19.6,74.1,       .,       .,       .,       .
1662,BU0363NF04,BU0363NF04,1.2,0.1,16.3,24.7,0.5,1.9,1.1,16.8,34.0,0.6,0.9,11.8,23.9,       .,       .,       .,       .
1663,BU0363NF05,BU0363NF05,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .
1664,WK0363NG,WK0363NG,0.9,0.6,17.3,32.0,0.9,2.1,3.0,17.0,36.0,1.4,0.0,13.4,47.1,       .,       .,       .,       .
1665,BU0363NG01,BU0363NG01,1.0,0.4,15.7,29.7,1.0,2.3,3.0,16.4,36.0,1.5,0.0,10.4,30.1,       .,       .,       .,       .
1666,BU0363NG02,BU0363NG02,0.5,1.0,20.7,36.5,0.5,1.8,3.0,18.2,36.0,1.3,0.0,19.4,75.4,       .,       .,       .,       .
1667,BU0363NG03,BU0363NG03,0.9,0.8,23.3,43.0,0.8,1.4,3.0,20.0,36.0,1.1,0.0,23.3,185.2,       .,       .,       .,       .
1668,WK0363NH,WK0363NH,0.5,3.4,16.3,27.5,0.6,1.1,2.1,16.7,36.0,0.7,1.4,11.6,31.6,       .,       .,       .,       .
1669,BU0363NH01,BU0363NH01,0.5,1.4,14.8,26.9,0.8,1.6,2.2,15.9,36.0,0.8,0.9,7.4,25.5,       .,       .,       .,       .
1670,BU0363NH02,BU0363NH02,0.4,2.0,15.0,27.6,0.7,1.5,2.4,16.2,36.0,0.7,1.5,7.6,25.9,       .,       .,       .,       .
1671,BU0363NH03,BU0363NH03,0.5,4.1,20.0,30.5,0.5,0.9,2.2,17.9,36.0,0.8,1.3,20.1,50.6,       .,       .,       .,       .
1672,BU0363NH04,BU0363NH04,0.4,6.1,15.9,26.4,0.3,0.8,1.8,17.0,36.0,0.3,2.0,9.0,25.5,       .,       .,       .,       .
1673,BU0363NH05,BU0363NH05,0.4,4.7,16.2,26.5,0.4,0.5,2.0,17.0,36.0,0.6,1.7,13.6,30.3,       .,       .,       .,       .
1674,BU0363NH06,BU0363NH06,1.0,0.4,20.7,30.5,0.7,1.2,2.0,18.0,36.0,0.7,1.0,21.2,54.5,       .,       .,       .,       .
1675,WK0363NJ,WK0363NJ,0.5,4.5,12.9,23.6,0.5,1.8,1.0,15.5,34.8,0.6,1.1,5.2,22.5,       .,       .,       .,       .
1676,BU0363NJ01,BU0363NJ01,0.4,2.6,12.0,23.8,0.7,1.6,1.0,15.5,36.0,1.0,0.8,5.0,23.3,       .,       .,       .,       .
1677,BU0363NJ02,BU0363NJ02,0.6,4.1,12.6,23.2,0.6,2.1,1.0,15.0,34.7,0.7,1.0,4.6,21.8,       .,       .,       .,       .
1678,BU0363NJ03,BU0363NJ03,0.7,3.8,12.1,23.1,0.7,2.3,1.0,15.2,33.6,0.7,1.0,4.5,21.2,       .,       .,       .,       .
1679,BU0363NJ04,BU0363NJ04,0.5,5.6,13.1,24.4,0.6,1.2,1.0,16.5,36.0,0.8,1.5,5.7,24.5,       .,       .,       .,       .
1680,BU0363NJ05,BU0363NJ05,0.3,5.6,13.7,24.0,0.2,1.5,1.0,16.0,35.4,0.5,1.4,5.9,23.2,       .,       .,       .,       .
1681,BU0363NJ06,BU0363NJ06,0.4,3.7,12.3,23.9,0.4,2.0,1.0,15.6,33.9,0.4,1.0,5.0,22.9,       .,       .,       .,       .
1682,WK0363NK,WK0363NK,0.6,2.8,15.7,34.2,0.2,2.7,2.5,18.4,36.0,0.4,5.5,20.7,88.1,       .,       .,       .,       .
1683,BU0363NK01,BU0363NK01,1.0,1.1,18.7,31.7,0.2,2.2,3.0,17.1,36.0,0.7,2.8,23.2,34.4,       .,       .,       .,       .
1684,BU0363NK02,BU0363NK02,0.5,2.6,17.4,32.3,0.3,2.6,2.8,17.7,36.0,0.3,5.4,21.3,44.6,       .,       .,       .,       .
1685,BU0363NK03,BU0363NK03,0.4,3.9,13.2,36.4,0.2,2.9,2.0,19.4,36.0,0.3,7.0,19.1,138.8,       .,       .,       .,       .
1686,WK0363NL,WK0363NL,0.4,3.5,12.3,33.4,0.2,2.5,2.1,19.0,36.0,0.4,6.2,19.0,107.5,       .,       .,       .,       .
1687,BU0363NL01,BU0363NL01,0.6,2.6,14.6,39.4,0.2,1.9,2.4,20.6,36.0,0.5,4.9,20.2,195.9,       .,       .,       .,       .
1688,BU0363NL02,BU0363NL02,1.6,0.1,11.9,26.1,0.9,2.4,2.0,16.7,34.8,1.0,0.5,17.8,34.5,       .,       .,       .,       .
1689,BU0363NL03,BU0363NL03,0.3,4.1,12.8,34.9,0.2,2.4,2.1,19.2,36.0,0.3,7.4,19.4,122.7,       .,       .,       .,       .
1690,BU0363NL04,BU0363NL04,0.4,3.0,10.5,28.9,0.3,2.9,2.0,18.0,36.0,0.4,5.2,17.8,47.5,       .,       .,       .,       .
1691,WK0363NM,WK0363NM,1.1,0.2,19.7,31.0,0.4,1.3,2.0,18.3,36.0,0.4,1.0,21.1,61.8,       .,       .,       .,       .
1692,BU0363NM01,BU0363NM01,1.1,0.2,19.7,31.0,0.4,1.3,2.0,18.3,36.0,0.4,1.0,21.1,61.8,       .,       .,       .,       .
1693,WK0363NN,WK0363NN,0.9,2.6,16.1,25.1,0.3,1.6,1.4,17.0,34.8,0.6,1.6,10.7,25.2,       .,       .,       .,       .
1694,BU0363NN01,BU0363NN01,1.2,0.1,16.5,26.2,0.4,1.4,2.0,17.3,35.8,0.5,1.0,13.1,28.8,       .,       .,       .,       .
1695,BU0363NN02,BU0363NN02,0.8,3.7,15.9,24.6,0.3,1.7,1.1,16.9,34.4,0.6,1.8,9.7,23.7,       .,       .,       .,       .
1696,WK0363NP,WK0363NP,0.2,2.8,12.9,36.3,0.4,2.4,2.0,19.8,35.8,0.2,5.6,18.8,157.4,       .,       .,       .,       .
1697,BU0363NP01,BU0363NP01,0.1,3.0,13.0,37.1,0.3,2.4,2.1,20.1,36.0,0.1,6.0,19.8,167.3,       .,       .,       .,       .
1698,BU0363NP02,BU0363NP02,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .
1699,BU0363NP03,BU0363NP03,1.4,0.0,12.0,24.0,1.1,2.5,1.0,15.2,33.0,1.4,0.0,5.0,22.8,       .,       .,       .,       .
1700,WK0363NQ,WK0363NQ,2.2,0.3,4.2,16.0,3.4,4.8,1.0,12.1,31.3,3.6,0.0,1.2,12.3,       .,       .,       .,       .
1701,BU0363NQ01,BU0363NQ01,2.7,0.0,1.2,18.2,3.0,4.0,1.0,12.9,32.7,3.4,0.0,0.0,13.5,       .,       .,       .,       .
1702,BU0363NQ02,BU0363NQ02,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .
1703,BU0363NQ03,BU0363NQ03,2.2,0.0,5.9,14.4,2.4,3.5,1.0,10.3,32.0,2.9,0.0,2.0,7.3,       .,       .,       .,       .
1704,BU0363NQ04,BU0363NQ04,0.7,1.0,7.4,27.4,1.9,3.3,2.0,16.0,32.0,2.2,0.0,2.2,26.2,       .,       .,       .,       .
1705,BU0363NQ05,BU0363NQ05,0.6,0.8,8.7,33.5,1.9,3.3,2.4,16.5,32.2,2.1,0.0,2.7,32.6,       .,       .,       .,       .
1706,BU0363NQ06,BU0363NQ06,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .
1707,BU0363NQ07,BU0363NQ07,1.7,0.0,4.9,21.1,2.9,4.4,1.7,14.5,32.0,3.0,0.0,0.8,17.8,       .,       .,       .,       .
1708,BU0363NQ08,BU0363NQ08,5.8,0.0,0.0,0.8,6.5,8.4,0.0,2.6,26.9,7.1,0.0,0.0,0.1,       .,       .,       .,       .
1709,BU0363NQ09,BU0363NQ09,2.8,0.0,0.9,6.9,4.2,5.8,0.0,13.0,32.0,4.2,0.0,0.0,1.4,       .,       .,       .,       .
1710,BU0363NQ10,BU0363NQ10,2.2,0.0,1.2,8.0,4.1,5.7,0.2,12.2,31.3,4.1,0.0,0.1,3.2,       .,       .,       .,       .
1711,WK0363SA,WK0363SA,2.9,0.0,2.2,7.1,2.8,3.0,1.0,7.1,36.6,2.9,0.0,1.5,7.1,       .,       .,       .,       .
1712,BU0363SA01,BU0363SA01,3.4,0.0,0.1,7.4,3.3,3.6,1.2,7.6,35.3,3.4,0.0,0.1,7.7,       .,       .,       .,       .
1713,BU0363SA02,BU0363SA02,2.9,0.0,2.4,7.0,2.8,3.0,1.0,7.0,36.8,2.9,0.0,1.7,7.0,       .,       .,       .,       .
1714,WK0363SB,WK0363SB,2.1,0.0,3.9,5.2,1.9,2.5,1.1,2.8,32.4,2.1,0.0,4.1,8.0,       .,       .,       .,       .
1715,BU0363SB01,BU0363SB01,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .
1716,BU0363SB02,BU0363SB02,2.6,0.0,3.6,7.0,0.8,3.0,2.0,4.0,33.0,1.8,0.0,4.2,8.0,       .,       .,       .,       .
1717,BU0363SB03,BU0363SB03,2.2,0.0,4.0,5.0,2.1,2.7,1.0,2.6,32.1,2.4,0.0,3.6,8.0,       .,       .,       .,       .
1718,BU0363SB04,BU0363SB04,2.7,0.0,2.8,7.0,1.1,3.0,2.0,4.0,32.8,2.0,0.0,4.1,8.0,       .,       .,       .,       .
1719,BU0363SB05,BU0363SB05,1.8,0.0,4.1,5.0,1.7,2.1,1.0,2.8,32.7,1.8,0.0,4.9,8.0,       .,       .,       .,       .
1720,BU0363SB06,BU0363SB06,1.6,0.0,4.4,5.0,1.5,1.9,1.0,3.3,33.4,1.6,0.0,6.5,8.0,       .,       .,       .,       .
1721,WK0363SC,WK0363SC,0.6,2.2,5.0,5.0,0.6,1.3,1.0,5.0,33.8,1.1,0.7,6.0,8.0,       .,       .,       .,       .
1722,BU0363SC01,BU0363SC01,0.8,1.8,5.0,5.2,0.8,1.6,1.0,5.1,35.1,1.5,0.0,6.0,7.9,       .,       .,       .,       .
1723,BU0363SC02,BU0363SC02,1.0,0.9,5.0,5.0,1.0,1.7,1.0,5.0,33.1,1.5,0.0,6.0,8.0,       .,       .,       .,       .
1724,BU0363SC03,BU0363SC03,0.4,2.1,5.0,5.0,0.5,1.3,1.0,5.0,34.4,1.2,0.4,6.0,8.0,       .,       .,       .,       .
1725,BU0363SC04,BU0363SC04,0.3,2.9,5.0,5.0,0.4,1.1,1.0,5.0,34.5,1.0,1.2,6.0,8.0,       .,       .,       .,       .
1726,BU0363SC05,BU0363SC05,0.8,2.0,5.0,5.0,0.8,1.3,1.0,5.0,33.1,1.1,0.6,6.0,8.0,       .,       .,       .,       .
1727,BU0363SC06,BU0363SC06,0.6,3.0,5.0,5.0,0.5,1.1,1.0,5.0,33.6,0.8,1.5,6.0,8.0,       .,       .,       .,       .
1728,WK0363SD,WK0363SD,0.7,2.5,5.0,5.0,0.5,0.8,1.0,5.0,34.7,0.5,3.3,6.0,8.0,       .,       .,       .,       .
1729,BU0363SD01,BU0363SD01,0.5,3.6,5.0,5.0,0.5,0.7,1.0,5.0,33.9,0.4,3.1,6.0,8.0,       .,       .,       .,       .
1730,BU0363SD02,BU0363SD02,0.7,3.7,5.0,5.1,0.7,0.9,1.0,5.1,35.0,1.0,1.1,6.0,7.9,       .,       .,       .,       .
1731,BU0363SD03,BU0363SD03,0.5,3.1,5.0,5.0,0.2,0.6,1.0,5.0,35.0,0.3,4.8,6.0,8.0,       .,       .,       .,       .
1732,BU0363SD04,BU0363SD04,0.5,2.8,5.0,5.0,0.4,0.6,1.0,5.0,35.1,0.5,4.6,6.0,8.0,       .,       .,       .,       .
1733,BU0363SD05,BU0363SD05,1.1,0.3,5.0,5.0,0.7,1.2,1.0,5.0,35.0,0.7,2.5,6.0,8.0,       .,       .,       .,       .
1734,BU0363SD06,BU0363SD06,1.4,0.0,5.0,5.0,1.0,1.6,1.0,5.0,34.3,1.0,0.3,6.0,8.0,       .,       .,       .,       .
1735,WK0363SE,WK0363SE,1.0,0.8,4.4,4.9,1.6,1.9,1.0,4.6,34.8,1.0,0.9,5.4,6.9,       .,       .,       .,       .
1736,BU0363SE01,BU0363SE01,2.6,0.0,2.6,5.0,2.4,2.9,1.0,3.4,33.1,2.3,0.0,4.0,6.3,       .,       .,       .,       .
1737,BU0363SE02,BU0363SE02,0.4,1.0,5.0,5.0,1.4,1.6,1.0,5.0,35.4,0.4,1.0,6.0,6.9,       .,       .,       .,       .
1738,BU0363SE03,BU0363SE03,0.6,1.1,5.0,5.0,1.2,1.4,1.0,5.0,35.8,0.6,1.1,6.0,7.3,       .,       .,       .,       .
1739,BU0363SE04,BU0363SE04,3.0,0.0,1.9,4.5,2.6,3.6,0.9,3.4,31.2,2.7,0.3,2.9,6.4,       .,       .,       .,       .
1740,WK0363TA,WK0363TA,0.8,0.4,4.6,15.8,0.5,3.0,1.7,13.4,33.1,1.5,0.0,3.4,9.6,       .,       .,       .,       .
1741,BU0363TA01,BU0363TA01,1.8,0.0,5.0,18.4,1.4,2.2,1.0,20.3,33.8,0.8,0.8,4.8,14.3,       .,       .,       .,       .
1742,BU0363TA02,BU0363TA02,1.6,0.0,6.1,18.7,1.2,1.9,1.0,19.1,34.0,1.2,0.0,4.7,13.3,       .,       .,       .,       .
1743,BU0363TA03,BU0363TA03,1.2,0.1,9.0,18.5,0.5,1.6,1.0,14.8,35.4,1.1,0.1,5.8,12.7,       .,       .,       .,       .
1744,BU0363TA04,BU0363TA04,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .
1745,BU0363TA05,BU0363TA05,0.6,0.5,3.1,15.0,0.5,3.5,2.0,13.0,32.3,1.7,0.0,2.5,8.6,       .,       .,       .,       .
1746,BU0363TA06,BU0363TA06,1.7,0.1,5.7,13.3,1.0,2.9,2.0,9.6,33.1,1.9,0.0,3.0,7.4,       .,       .,       .,       .
1747,BU0363TA07,BU0363TA07,1.5,0.1,3.9,12.3,1.2,3.1,1.8,10.3,33.4,2.4,0.0,2.2,6.8,       .,       .,       .,       .
1748,WK0363TB,WK0363TB,0.7,1.1,8.7,23.1,0.6,1.9,2.7,20.5,33.9,1.4,0.1,6.7,16.6,       .,       .,       .,       .
1749,BU0363TB01,BU0363TB01,0.7,0.7,8.2,21.0,0.7,1.8,2.5,20.2,33.7,1.5,0.0,6.3,16.6,       .,       .,       .,       .
1750,BU0363TB02,BU0363TB02,0.5,1.7,9.6,26.3,0.5,2.0,3.0,20.9,34.1,1.3,0.2,7.3,16.8,       .,       .,       .,       .
1751,WK0363TC,WK0363TC,0.7,2.2,10.1,19.6,0.4,1.1,2.2,18.6,34.2,1.0,0.7,6.0,15.2,       .,       .,       .,       .
1752,BU0363TC01,BU0363TC01,1.1,0.4,9.0,19.6,0.4,1.9,2.9,19.4,34.2,0.4,1.9,4.8,14.6,       .,       .,       .,       .
1753,BU0363TC02,BU0363TC02,0.5,2.6,10.3,19.6,0.5,0.9,2.0,18.3,34.2,1.3,0.2,6.3,15.4,       .,       .,       .,       .
1754,BU0363TC03,BU0363TC03,0.3,3.7,10.8,19.9,0.2,0.4,2.0,18.1,34.5,0.8,0.7,7.1,15.8,       .,       .,       .,       .
1755,BU0363TC04,BU0363TC04,0.7,1.6,10.8,19.3,0.5,1.0,2.1,19.0,34.0,1.5,0.0,5.5,14.9,       .,       .,       .,       .
1756,BU0363TC05,BU0363TC05,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .
1757,WK0363TD,WK0363TD,1.0,1.2,10.5,17.4,0.9,1.2,1.1,15.7,34.7,1.1,0.4,5.8,13.3,       .,       .,       .,       .
1758,BU0363TD01,BU0363TD01,0.8,1.5,10.2,18.0,0.7,1.1,1.0,16.2,35.0,0.8,0.9,7.2,14.7,       .,       .,       .,       .
1759,BU0363TD02,BU0363TD02,0.9,2.1,11.0,18.2,0.7,0.9,1.4,17.0,34.3,1.1,0.5,6.3,14.7,       .,       .,       .,       .
1760,BU0363TD03,BU0363TD03,1.3,0.0,10.1,16.0,1.1,1.6,1.0,13.6,35.0,1.3,0.0,4.2,10.7,       .,       .,       .,       .
1761,BU0363TD04,BU0363TD04,1.3,0.0,11.0,16.0,1.3,1.6,1.0,14.3,35.0,1.3,0.0,4.0,11.0,       .,       .,       .,       .
1762,WK0363TE,WK0363TE,0.7,0.7,10.2,18.7,0.6,2.0,2.7,18.6,34.2,1.6,0.4,5.1,13.2,       .,       .,       .,       .
1763,BU0363TE01,BU0363TE01,1.3,0.0,11.2,19.8,0.9,2.6,3.0,19.6,34.3,0.9,1.2,6.3,13.4,       .,       .,       .,       .
1764,BU0363TE02,BU0363TE02,0.6,1.0,9.8,17.9,0.6,1.7,2.3,18.3,34.0,1.9,0.0,4.1,13.0,       .,       .,       .,       .
1765,BU0363TE03,BU0363TE03,0.3,1.0,10.0,19.0,0.3,2.0,3.0,18.1,34.6,1.8,0.0,5.5,13.4,       .,       .,       .,       .
1766,WK0363TF,WK0363TF,1.1,0.5,6.0,16.0,0.9,2.9,2.1,13.1,32.9,1.4,0.1,2.5,10.4,       .,       .,       .,       .
1767,BU0363TF01,BU0363TF01,1.2,0.3,7.0,15.6,0.9,2.7,2.3,14.4,32.9,1.7,0.0,3.0,10.9,       .,       .,       .,       .
1768,BU0363TF02,BU0363TF02,0.9,1.0,7.5,16.8,0.7,2.7,2.1,14.7,33.4,1.1,0.4,3.2,11.7,       .,       .,       .,       .
1769,BU0363TF03,BU0363TF03,1.3,0.2,3.3,16.0,1.2,3.5,1.9,10.2,32.5,1.2,0.1,1.2,8.7,       .,       .,       .,       .
1770,WK0363TG,WK0363TG,0.4,1.7,7.6,17.6,0.3,2.4,2.0,14.0,33.8,1.0,0.7,3.1,11.6,       .,       .,       .,       .
1771,BU0363TG01,BU0363TG01,0.6,1.0,9.3,17.9,0.5,2.1,2.2,18.0,33.7,1.9,0.0,4.0,13.0,       .,       .,       .,       .
1772,BU0363TG02,BU0363TG02,0.4,2.0,6.6,17.2,0.4,2.6,1.9,11.8,33.8,0.7,0.9,2.3,10.6,       .,       .,       .,       .
1773,BU0363TG03,BU0363TG03,0.3,2.0,7.1,17.9,0.2,2.4,2.0,12.8,34.0,0.4,1.0,3.1,11.6,       .,       .,       .,       .
1774,WK0363TH,WK0363TH,0.9,1.1,6.9,17.0,0.7,2.5,1.7,13.9,33.5,1.0,0.4,3.1,11.4,       .,       .,       .,       .
1775,BU0363TH01,BU0363TH01,1.2,0.0,9.3,18.0,1.1,1.8,2.0,17.7,33.8,1.5,0.0,5.4,13.8,       .,       .,       .,       .
1776,BU0363TH02,BU0363TH02,1.0,0.9,8.5,18.0,0.8,2.2,2.0,17.4,33.5,1.3,0.0,4.5,13.5,       .,       .,       .,       .
1777,BU0363TH03,BU0363TH03,0.8,1.5,6.5,17.3,0.7,2.5,2.0,11.9,33.5,1.1,0.2,2.5,11.5,       .,       .,       .,       .
1778,BU0363TH04,BU0363TH04,0.6,2.0,5.8,16.5,0.3,2.7,1.4,10.8,33.8,0.5,1.0,1.5,9.9,       .,       .,       .,       .
1779,BU0363TH05,BU0363TH05,0.9,1.0,3.9,14.9,0.6,3.2,1.1,9.3,32.7,0.6,0.9,1.0,7.3,       .,       .,       .,       .
1780,WK0363TJ,WK0363TJ,0.7,1.0,7.2,15.5,0.8,2.8,1.7,9.6,33.6,1.0,0.6,3.5,9.4,       .,       .,       .,       .
1781,BU0363TJ01,BU0363TJ01,0.6,0.9,6.9,15.5,0.8,2.7,1.6,10.4,33.5,0.9,0.5,3.6,10.0,       .,       .,       .,       .
1782,BU0363TJ02,BU0363TJ02,0.7,1.0,9.5,15.7,0.7,2.5,1.5,9.4,34.0,0.8,1.0,4.1,9.6,       .,       .,       .,       .
1783,BU0363TJ03,BU0363TJ03,0.8,1.0,6.0,15.4,0.9,3.0,1.9,9.1,33.4,1.1,0.5,3.0,9.0,       .,       .,       .,       .
1784,WK0363TK,WK0363TK,1.7,0.0,7.4,15.4,1.4,2.9,1.0,10.1,34.3,1.6,0.1,2.7,8.5,       .,       .,       .,       .
1785,BU0363TK01,BU0363TK01,1.7,0.0,7.4,15.4,1.4,2.9,1.0,10.1,34.3,1.6,0.1,2.7,8.5,       .,       .,       .,       .
1786,BU0363TK02,BU0363TK02,1.5,0.0,2.5,18.9,1.2,3.7,2.5,8.5,34.7,1.2,0.5,1.0,12.3,       .,       .,       .,       .
1787,BU0363TK03,BU0363TK03,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .
1788,WK0363TL,WK0363TL,0.9,0.7,5.7,14.0,0.8,3.5,2.0,7.2,33.4,1.0,0.5,3.2,5.7,       .,       .,       .,       .
1789,BU0363TL01,BU0363TL01,1.0,0.5,6.3,15.2,0.7,3.3,2.0,7.4,33.9,1.1,0.2,3.7,7.0,       .,       .,       .,       .
1790,BU0363TL02,BU0363TL02,1.0,0.3,4.7,13.5,0.5,4.1,2.0,6.3,32.5,0.5,1.1,3.0,5.2,       .,       .,       .,       .
1791,BU0363TL03,BU0363TL03,0.8,1.0,6.1,13.6,0.8,3.3,2.0,7.6,33.5,1.1,0.4,3.0,5.6,       .,       .,       .,       .
1792,BU0363TL04,BU0363TL04,1.0,0.9,5.4,13.6,0.9,3.6,2.0,7.1,33.4,1.0,0.5,3.0,5.2,       .,       .,       .,       .
1793,WK0363TM,WK0363TM,1.0,0.5,3.9,12.8,0.9,4.3,1.4,6.7,32.4,2.0,0.0,2.5,5.5,       .,       .,       .,       .
1794,BU0363TM01,BU0363TM01,0.9,0.5,5.4,13.8,0.8,3.8,1.1,7.0,33.3,1.9,0.0,3.1,6.7,       .,       .,       .,       .
