ID,DistrictsAndNeighbourhoods,Encoding_3,DistanceToSchool_64,Within3Km_65,Within5Km_66,Within10Km_67,DistanceToSchool_68,Within3Km_69,Within5Km_70,Within10Km_71,DistanceToSchool_72,Within3Km_73,Within5Km_74,Within10Km_75,DistanceToPublicGreenTotal_76,DistanceToParkOrPublicGarden_77,DistanceToRecreationalTerrain_78,DistanceToForest_79,DistanceToOpenNatTerrainTotal_80,DistanceToOpenDryNaturalTerrain_81,DistanceToOpenWetNaturalTerrain_82
17336,BU08730208,BU08730208,4.6,0.0,0.8,1.0,4.6,0.0,0.8,1.0,14.5,0.0,0.0,0.0,       .,       .,       .,       .,       .,       .,       .
17337,BU08730209,BU08730209,3.1,0.3,1.0,1.0,3.1,0.3,1.0,1.0,14.1,0.0,0.0,0.0,       .,       .,       .,       .,       .,       .,       .
17338,WK087303,WK087303,7.9,0.0,0.0,1.0,7.9,0.0,0.0,1.0,18.7,0.0,0.0,0.0,       .,       .,       .,       .,       .,       .,       .
17339,BU08730300,BU08730300,7.9,0.0,0.0,1.0,7.9,0.0,0.0,1.0,18.8,0.0,0.0,0.0,       .,       .,       .,       .,       .,       .,       .
17340,BU08730309,BU08730309,7.4,0.0,0.0,1.0,7.4,0.0,0.0,1.0,18.3,0.0,0.0,0.0,       .,       .,       .,       .,       .,       .,       .
17341,GM0632,GM0632,2.1,2.3,4.0,7.1,2.2,1.8,3.2,6.1,2.5,1.0,1.7,3.0,       .,       .,       .,       .,       .,       .,       .
17342,WK063201,WK063201,0.9,3.8,5.0,6.3,0.9,3.0,4.0,5.3,1.4,1.7,2.0,2.3,       .,       .,       .,       .,       .,       .,       .
17343,BU06320101,BU06320101,1.0,4.3,5.0,6.0,1.0,3.3,4.0,5.0,1.8,2.0,2.0,2.0,       .,       .,       .,       .,       .,       .,       .
17344,BU06320102,BU06320102,0.7,4.0,5.0,6.0,0.7,3.0,4.0,5.0,1.3,2.0,2.0,2.0,       .,       .,       .,       .,       .,       .,       .
17345,BU06320103,BU06320103,1.2,4.0,5.0,6.0,1.2,3.0,4.0,5.0,1.9,2.0,2.0,2.0,       .,       .,       .,       .,       .,       .,       .
17346,BU06320104,BU06320104,1.6,3.7,5.0,7.1,1.6,2.7,4.0,6.1,2.0,1.3,2.0,3.1,       .,       .,       .,       .,       .,       .,       .
17347,BU06320105,BU06320105,0.6,4.4,5.0,6.0,0.6,3.4,4.0,5.0,1.4,2.0,2.0,2.0,       .,       .,       .,       .,       .,       .,       .
17348,BU06320106,BU06320106,0.6,3.5,5.0,6.0,0.6,3.0,4.0,5.0,0.7,1.5,2.0,2.0,       .,       .,       .,       .,       .,       .,       .
17349,WK063202,WK063202,2.0,2.5,4.4,6.0,2.0,2.5,3.4,5.0,2.5,1.0,2.0,2.0,       .,       .,       .,       .,       .,       .,       .
17350,BU06320201,BU06320201,2.0,2.4,4.2,6.0,2.0,2.4,3.2,5.0,2.4,1.0,2.0,2.0,       .,       .,       .,       .,       .,       .,       .
17351,BU06320202,BU06320202,2.2,2.2,4.1,6.0,2.2,2.2,3.1,5.0,2.6,0.8,2.0,2.0,       .,       .,       .,       .,       .,       .,       .
17352,BU06320203,BU06320203,1.7,3.0,4.8,6.0,1.7,2.9,3.8,5.0,2.3,1.1,2.0,2.0,       .,       .,       .,       .,       .,       .,       .
17353,BU06320204,BU06320204,2.3,2.9,4.9,6.0,2.4,2.2,3.9,5.0,2.5,1.4,1.9,2.0,       .,       .,       .,       .,       .,       .,       .
17354,WK063203,WK063203,0.9,2.6,5.0,7.0,1.3,1.6,4.0,6.0,1.2,1.0,2.0,3.0,       .,       .,       .,       .,       .,       .,       .
17355,BU06320301,BU06320301,1.1,4.0,5.0,6.0,1.6,3.0,4.0,5.0,1.1,1.0,2.0,2.0,       .,       .,       .,       .,       .,       .,       .
17356,BU06320302,BU06320302,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .
17357,BU06320303,BU06320303,1.0,2.9,5.1,6.6,1.6,1.9,4.1,5.6,1.0,1.0,2.0,2.6,       .,       .,       .,       .,       .,       .,       .
17358,BU06320304,BU06320304,1.7,2.5,5.1,6.0,2.6,1.5,4.1,5.0,1.7,1.0,2.0,2.0,       .,       .,       .,       .,       .,       .,       .
17359,BU06320305,BU06320305,0.8,2.1,5.0,8.0,0.8,1.1,4.0,7.0,1.6,1.0,2.0,4.0,       .,       .,       .,       .,       .,       .,       .
17360,WK063204,WK063204,2.8,1.1,3.2,5.2,2.8,1.1,2.8,4.2,2.9,0.5,1.4,2.0,       .,       .,       .,       .,       .,       .,       .
17361,BU06320401,BU06320401,2.6,1.4,3.4,5.2,2.6,1.4,2.9,4.2,2.6,0.6,1.5,2.0,       .,       .,       .,       .,       .,       .,       .
17362,BU06320402,BU06320402,3.8,0.2,2.3,5.1,3.8,0.2,2.3,4.1,4.2,0.0,0.9,2.0,       .,       .,       .,       .,       .,       .,       .
17363,WK063205,WK063205,2.3,1.8,4.1,7.9,2.4,1.2,3.1,6.9,3.0,0.7,1.5,3.8,       .,       .,       .,       .,       .,       .,       .
17364,BU06320501,BU06320501,2.4,2.1,4.3,7.9,2.4,1.6,3.3,6.9,3.1,0.8,1.8,3.9,       .,       .,       .,       .,       .,       .,       .
17365,BU06320502,BU06320502,2.5,1.3,4.1,8.2,2.5,0.9,3.1,7.2,3.5,0.4,1.7,4.2,       .,       .,       .,       .,       .,       .,       .
17366,BU06320503,BU06320503,2.1,1.7,3.9,7.7,2.4,1.0,2.9,6.7,2.6,0.7,1.1,3.5,       .,       .,       .,       .,       .,       .,       .
17367,WK063206,WK063206,4.4,0.0,1.7,11.9,4.4,0.0,1.6,10.7,4.6,0.0,1.0,6.8,       .,       .,       .,       .,       .,       .,       .
17368,BU06320601,BU06320601,4.2,0.0,1.8,11.8,4.2,0.0,1.8,10.8,4.6,0.0,1.0,6.6,       .,       .,       .,       .,       .,       .,       .
17369,BU06320602,BU06320602,4.7,0.0,1.6,11.8,4.7,0.0,1.6,10.7,4.7,0.0,1.0,6.8,       .,       .,       .,       .,       .,       .,       .
17370,BU06320603,BU06320603,3.7,0.0,2.1,11.7,3.7,0.0,1.2,10.7,4.7,0.0,1.1,6.7,       .,       .,       .,       .,       .,       .,       .
17371,BU06320604,BU06320604,3.3,0.5,2.0,15.0,3.3,0.5,1.9,11.9,3.5,0.5,1.7,8.7,       .,       .,       .,       .,       .,       .,       .
17372,BU06320605,BU06320605,5.4,0.0,0.4,11.1,5.4,0.0,0.4,8.6,6.4,0.0,0.0,7.0,       .,       .,       .,       .,       .,       .,       .
17373,BU06320606,BU06320606,4.4,0.0,1.2,9.9,4.4,0.0,1.0,8.6,5.2,0.0,0.7,5.3,       .,       .,       .,       .,       .,       .,       .
17374,WK063207,WK063207,4.3,0.1,3.0,5.3,4.3,0.1,2.3,4.3,4.5,0.1,1.4,2.2,       .,       .,       .,       .,       .,       .,       .
17375,BU06320701,BU06320701,3.8,0.0,4.0,5.1,3.8,0.0,3.0,4.1,4.0,0.0,2.0,2.1,       .,       .,       .,       .,       .,       .,       .
17376,BU06320702,BU06320702,5.3,0.0,0.1,5.0,5.3,0.0,0.1,4.0,5.4,0.0,0.0,2.0,       .,       .,       .,       .,       .,       .,       .
17377,BU06320703,BU06320703,5.2,0.6,1.5,6.0,5.2,0.5,1.2,5.0,5.5,0.3,0.6,2.4,       .,       .,       .,       .,       .,       .,       .
17378,WK063208,WK063208,5.4,0.0,0.3,4.8,5.4,0.0,0.3,3.9,5.4,0.0,0.2,1.9,       .,       .,       .,       .,       .,       .,       .
17379,BU06320801,BU06320801,5.2,0.0,0.2,5.0,5.2,0.0,0.2,4.0,5.2,0.0,0.1,2.0,       .,       .,       .,       .,       .,       .,       .
17380,BU06320802,BU06320802,6.1,0.1,0.8,4.0,6.1,0.1,0.8,3.4,6.2,0.1,0.3,1.6,       .,       .,       .,       .,       .,       .,       .
17381,GM1690,GM1690,8.7,0.0,0.1,5.1,8.7,0.0,0.1,4.8,9.0,0.0,0.0,1.8,       .,       .,       .,       .,       .,       .,       .
17382,WK169000,WK169000,8.6,0.0,0.0,7.7,8.6,0.0,0.0,6.8,8.6,0.0,0.0,2.6,       .,       .,       .,       .,       .,       .,       .
