ID,DistrictsAndNeighbourhoods,Encoding_3,DistanceToSemiPublicGreenTotal_83,DistanceToSportsArea_84,DistanceToAllotmentGarden_85,DistanceToRecreationalArea_86,DistanceToCemetery_87,DistanceToRecreationalInlandWaters_88,DistanceToMainRoadEntrance_89,DistanceToTrainStationAllTypes_90,DistanceToImportantTransferStation_91,DistanceToLibrary_92,DistanceToSwimmingPool_93,DistanceToArtificialIceSkatingRink_94,DistanceToMuseum_95,Within5Km_96,Within10Km_97,Within20Km_98
0,NL00,NL00,       .,       .,       .,       .,       .,       .,1.9,5.3,10.8,2.0,3.4,19.5,4.3,3.3,8.1,21.3
1,GM1680,GM1680,       .,       .,       .,       .,       .,       .,1.5,12.4,14.4,2.7,9.8,32.2,8.0,0.1,1.0,6.3
2,WK168000,WK168000,       .,       .,       .,       .,       .,       .,1.5,13.3,14.3,0.8,5.3,24.9,5.7,0.1,1.0,8.0
3,BU16800000,BU16800000,       .,       .,       .,       .,       .,       .,1.5,13.2,14.2,0.7,5.2,24.8,5.7,0.1,1.0,8.0
4,BU16800009,BU16800009,       .,       .,       .,       .,       .,       .,2.6,13.7,15.3,2.1,6.9,26.5,7.2,0.0,1.0,8.0
5,WK168001,WK168001,       .,       .,       .,       .,       .,       .,3.9,13.8,13.8,3.8,10.4,30.0,10.7,0.0,0.1,6.3
6,BU16800100,BU16800100,       .,       .,       .,       .,       .,       .,3.9,13.6,13.6,3.9,10.5,30.1,10.8,0.0,0.0,6.1
7,BU16800109,BU16800109,       .,       .,       .,       .,       .,       .,3.6,15.4,15.6,3.3,9.4,29.0,9.6,0.0,0.7,7.0
8,WK168002,WK168002,       .,       .,       .,       .,       .,       .,1.0,11.8,11.8,2.4,7.3,26.6,8.0,0.0,1.0,9.0
9,BU16800200,BU16800200,       .,       .,       .,       .,       .,       .,1.0,11.8,11.8,2.4,7.3,26.5,8.1,0.0,1.0,9.0
10,BU16800209,BU16800209,       .,       .,       .,       .,       .,       .,1.1,12.2,12.2,2.5,7.4,26.8,8.0,0.0,1.0,8.8
11,WK168003,WK168003,       .,       .,       .,       .,       .,       .,3.8,9.0,9.0,5.2,7.9,26.9,9.2,0.0,1.4,8.5
12,BU16800300,BU16800300,       .,       .,       .,       .,       .,       .,3.8,9.0,9.0,5.3,7.9,26.9,9.2,0.0,1.5,8.5
13,BU16800309,BU16800309,       .,       .,       .,       .,       .,       .,3.3,9.8,9.8,4.7,8.1,27.2,9.3,0.0,1.0,8.7
14,WK168004,WK168004,       .,       .,       .,       .,       .,       .,4.9,9.6,9.6,4.4,12.0,31.6,10.8,0.0,0.0,4.2
15,BU16800400,BU16800400,       .,       .,       .,       .,       .,       .,5.0,9.6,9.6,4.4,12.1,31.6,10.8,0.0,0.0,4.1
16,BU16800409,BU16800409,       .,       .,       .,       .,       .,       .,4.4,9.1,9.1,3.9,11.4,32.1,10.3,0.0,0.4,4.7
17,WK168005,WK168005,       .,       .,       .,       .,       .,       .,2.1,12.2,13.3,3.6,3.3,22.4,4.6,0.8,1.0,13.1
18,BU16800500,BU16800500,       .,       .,       .,       .,       .,       .,2.0,12.2,13.2,3.5,3.2,22.3,4.5,0.9,1.0,13.4
19,BU16800509,BU16800509,       .,       .,       .,       .,       .,       .,2.6,12.8,13.8,4.1,3.8,22.9,5.1,0.4,1.0,10.3
20,WK168006,WK168006,       .,       .,       .,       .,       .,       .,1.7,10.7,20.5,7.3,9.4,29.7,9.9,0.0,0.7,5.0
21,BU16800600,BU16800600,       .,       .,       .,       .,       .,       .,1.6,10.7,20.6,7.3,9.3,29.7,9.8,0.0,0.8,5.0
22,BU16800609,BU16800609,       .,       .,       .,       .,       .,       .,2.9,11.8,20.3,7.3,10.4,29.4,10.9,0.0,0.0,5.0
23,WK168007,WK168007,       .,       .,       .,       .,       .,       .,3.4,10.7,17.7,4.4,7.7,25.7,7.8,0.0,2.0,8.9
24,BU16800700,BU16800700,       .,       .,       .,       .,       .,       .,3.4,10.7,17.7,4.4,7.7,25.7,7.8,0.0,2.0,8.9
25,BU16800709,BU16800709,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .
26,WK168008,WK168008,       .,       .,       .,       .,       .,       .,4.0,11.8,18.7,5.4,8.8,26.8,8.9,0.0,1.0,7.2
27,BU16800800,BU16800800,       .,       .,       .,       .,       .,       .,4.0,11.8,18.6,5.2,8.7,26.7,8.8,0.0,1.1,7.4
28,BU16800809,BU16800809,       .,       .,       .,       .,       .,       .,4.1,12.4,20.0,6.6,10.0,28.0,10.1,0.0,0.4,5.7
29,WK168009,WK168009,       .,       .,       .,       .,       .,       .,3.6,10.2,19.0,5.7,7.1,25.1,7.2,0.0,1.3,7.5
30,BU16800900,BU16800900,       .,       .,       .,       .,       .,       .,3.6,10.2,19.0,5.7,7.1,25.1,7.2,0.0,1.3,7.5
31,BU16800909,BU16800909,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .
32,WK168011,WK168011,       .,       .,       .,       .,       .,       .,1.9,9.7,20.5,7.1,8.1,26.6,8.7,0.0,1.3,5.0
33,BU16801100,BU16801100,       .,       .,       .,       .,       .,       .,1.9,9.6,20.5,7.1,8.1,26.6,8.7,0.0,1.3,5.0
34,BU16801109,BU16801109,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .
35,WK168012,WK168012,       .,       .,       .,       .,       .,       .,0.7,8.6,22.7,7.8,7.3,29.0,7.7,0.0,1.0,6.8
36,BU16801200,BU16801200,       .,       .,       .,       .,       .,       .,0.7,8.6,22.7,7.8,7.4,29.0,7.7,0.0,1.0,6.7
37,BU16801209,BU16801209,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .
38,WK168013,WK168013,       .,       .,       .,       .,       .,       .,3.7,13.0,18.0,4.6,11.5,31.2,11.7,0.0,0.0,5.9
39,BU16801300,BU16801300,       .,       .,       .,       .,       .,       .,3.7,13.0,18.0,4.6,11.6,31.2,11.8,0.0,0.0,6.0
40,BU16801309,BU16801309,       .,       .,       .,       .,       .,       .,3.6,12.9,18.2,4.6,11.2,31.3,11.4,0.0,0.0,5.6
41,WK168014,WK168014,       .,       .,       .,       .,       .,       .,0.8,18.0,18.1,4.5,14.2,36.3,6.0,0.0,1.0,6.7
42,BU16801400,BU16801400,       .,       .,       .,       .,       .,       .,0.7,18.3,18.3,4.6,14.1,36.5,5.7,0.1,1.0,6.9
43,BU16801401,BU16801401,       .,       .,       .,       .,       .,       .,1.0,17.2,17.8,3.8,14.3,35.4,7.6,0.0,1.0,6.0
44,BU16801409,BU16801409,       .,       .,       .,       .,       .,       .,1.2,16.4,16.8,3.4,14.8,35.2,7.6,0.0,1.0,5.9
45,WK168015,WK168015,       .,       .,       .,       .,       .,       .,0.6,16.6,22.1,0.7,10.2,38.8,8.6,0.0,1.3,3.7
46,BU16801500,BU16801500,       .,       .,       .,       .,       .,       .,0.6,16.6,22.1,0.7,10.1,38.8,8.5,0.0,1.3,3.7
47,BU16801501,BU16801501,       .,       .,       .,       .,       .,       .,1.3,14.7,21.6,2.0,11.7,36.9,9.7,0.0,0.8,4.0
48,BU16801509,BU16801509,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .
49,WK168016,WK168016,       .,       .,       .,       .,       .,       .,0.5,15.7,26.0,3.3,6.2,39.2,6.3,0.2,1.0,3.3
50,BU16801600,BU16801600,       .,       .,       .,       .,       .,       .,0.4,15.8,26.1,3.2,6.0,39.3,6.1,0.2,1.0,3.3
51,BU16801601,BU16801601,       .,       .,       .,       .,       .,       .,2.0,14.5,24.7,4.1,8.2,38.0,8.2,0.0,1.0,3.0
52,BU16801609,BU16801609,       .,       .,       .,       .,       .,       .,0.6,15.6,23.2,1.7,9.2,38.4,9.3,0.0,1.7,3.0
53,WK168017,WK168017,       .,       .,       .,       .,       .,       .,1.2,14.9,15.1,1.0,12.9,32.5,9.8,0.0,0.6,6.3
54,BU16801700,BU16801700,       .,       .,       .,       .,       .,       .,1.2,15.0,15.0,1.0,12.9,32.5,9.8,0.0,0.7,6.3
55,BU16801709,BU16801709,       .,       .,       .,       .,       .,       .,2.0,13.7,16.1,3.2,13.1,33.6,10.2,0.0,0.3,5.9
56,WK168018,WK168018,       .,       .,       .,       .,       .,       .,2.1,11.2,21.6,5.8,9.9,33.4,10.1,0.0,0.3,5.0
57,BU16801800,BU16801800,       .,       .,       .,       .,       .,       .,2.1,11.5,21.1,5.5,10.4,33.6,10.7,0.0,0.0,5.0
58,BU16801801,BU16801801,       .,       .,       .,       .,       .,       .,2.7,13.4,20.4,3.4,11.9,35.5,11.1,0.0,0.0,4.0
59,BU16801802,BU16801802,       .,       .,       .,       .,       .,       .,1.8,9.2,23.2,7.5,7.8,31.7,8.1,0.0,1.0,5.7
60,BU16801809,BU16801809,       .,       .,       .,       .,       .,       .,2.2,11.7,21.7,5.4,10.3,34.0,10.4,0.0,0.4,4.5
61,WK168019,WK168019,       .,       .,       .,       .,       .,       .,1.2,6.6,6.6,1.7,9.0,33.6,7.7,0.0,1.3,6.2
62,BU16801900,BU16801900,       .,       .,       .,       .,       .,       .,1.1,6.4,6.4,1.3,8.9,33.4,7.6,0.0,1.2,6.2
63,BU16801901,BU16801901,       .,       .,       .,       .,       .,       .,3.0,4.7,4.7,1.2,7.2,31.4,5.9,0.0,1.0,8.0
64,BU16801902,BU16801902,       .,       .,       .,       .,       .,       .,2.9,5.6,5.6,2.7,8.1,34.8,6.8,0.0,2.0,6.0
65,BU16801903,BU16801903,       .,       .,       .,       .,       .,       .,4.4,3.8,3.8,3.1,6.3,33.5,5.0,0.5,1.9,6.0
66,BU16801908,BU16801908,       .,       .,       .,       .,       .,       .,0.5,8.2,8.2,3.0,10.3,35.2,9.2,0.0,1.9,6.0
67,BU16801909,BU16801909,       .,       .,       .,       .,       .,       .,2.0,7.3,7.3,3.3,9.4,34.0,7.9,0.1,1.5,5.9
68,WK168020,WK168020,       .,       .,       .,       .,       .,       .,0.5,12.6,12.6,7.0,14.0,40.0,7.7,0.0,1.4,5.2
69,BU16802000,BU16802000,       .,       .,       .,       .,       .,       .,0.4,11.8,11.8,7.0,13.1,39.1,8.1,0.0,1.1,5.0
70,BU16802001,BU16802001,       .,       .,       .,       .,       .,       .,0.2,15.5,15.6,7.5,15.8,42.6,7.1,0.0,2.9,5.0
71,BU16802008,BU16802008,       .,       .,       .,       .,       .,       .,0.4,12.5,12.5,6.9,15.0,39.5,7.3,0.0,1.0,5.8
72,BU16802009,BU16802009,       .,       .,       .,       .,       .,       .,1.2,12.7,12.9,7.0,13.9,40.7,7.2,0.1,1.6,5.0
73,WK168021,WK168021,       .,       .,       .,       .,       .,       .,4.6,6.5,6.5,5.7,7.9,37.3,4.9,0.7,2.0,5.0
74,BU16802100,BU16802100,       .,       .,       .,       .,       .,       .,4.8,6.1,6.1,5.5,7.4,37.2,4.9,0.8,2.0,5.0
75,BU16802101,BU16802101,       .,       .,       .,       .,       .,       .,4.6,7.5,7.5,6.9,8.8,38.6,3.8,1.0,2.0,5.0
76,BU16802109,BU16802109,       .,       .,       .,       .,       .,       .,4.2,6.6,6.6,5.4,8.2,36.7,5.6,0.2,2.0,5.1
77,GM0358,GM0358,       .,       .,       .,       .,       .,       .,1.3,8.2,8.9,2.7,2.9,20.0,3.2,1.0,2.7,40.2
78,WK035800,WK035800,       .,       .,       .,       .,       .,       .,1.3,6.5,7.5,1.4,1.7,20.4,1.5,1.0,3.1,48.6
79,BU03580000,BU03580000,       .,       .,       .,       .,       .,       .,0.7,5.5,6.5,0.7,2.4,20.0,0.8,1.0,3.8,50.4
80,BU03580001,BU03580001,       .,       .,       .,       .,       .,       .,1.4,6.5,7.4,1.4,1.5,20.2,1.5,1.0,3.2,53.2
81,BU03580004,BU03580004,       .,       .,       .,       .,       .,       .,1.1,7.6,8.5,2.3,0.7,20.9,2.3,1.0,2.4,42.0
82,BU03580005,BU03580005,       .,       .,       .,       .,       .,       .,2.3,7.1,8.2,1.5,3.4,21.6,1.4,1.0,1.5,26.2
83,WK035801,WK035801,       .,       .,       .,       .,       .,       .,1.9,10.1,11.2,4.6,3.4,22.8,4.6,0.8,1.0,15.1
84,BU03580100,BU03580100,       .,       .,       .,       .,       .,       .,1.9,10.1,11.2,4.6,3.4,22.8,4.6,0.8,1.0,15.1
85,WK035802,WK035802,       .,       .,       .,       .,       .,       .,1.0,8.7,8.8,2.6,4.1,17.1,4.3,1.1,3.7,51.7
86,BU03580200,BU03580200,       .,       .,       .,       .,       .,       .,1.6,7.4,8.3,2.4,3.9,18.0,2.8,1.0,3.4,54.3
87,BU03580201,BU03580201,       .,       .,       .,       .,       .,       .,1.0,8.4,8.7,3.2,3.3,18.1,3.8,1.0,3.0,51.9
88,BU03580205,BU03580205,       .,       .,       .,       .,       .,       .,0.9,8.8,8.8,2.5,4.3,16.8,4.5,1.1,3.8,51.1
89,BU03580206,BU03580206,       .,       .,       .,       .,       .,       .,1.2,9.5,9.9,2.7,4.4,15.8,4.3,1.5,4.1,55.6
90,GM0197,GM0197,       .,       .,       .,       .,       .,       .,1.0,4.4,41.2,1.7,5.3,48.8,1.8,0.9,1.6,7.5
91,WK019701,WK019701,       .,       .,       .,       .,       .,       .,1.4,4.2,40.2,3.8,4.8,47.2,4.0,0.7,1.8,8.3
92,BU01970101,BU01970101,       .,       .,       .,       .,       .,       .,0.7,4.3,38.8,3.8,3.2,42.1,3.5,1.0,2.0,9.1
93,BU01970102,BU01970102,       .,       .,       .,       .,       .,       .,1.4,4.7,38.0,3.4,3.8,42.4,4.0,0.7,2.3,9.6
94,BU01970103,BU01970103,       .,       .,       .,       .,       .,       .,0.8,2.8,42.8,3.0,4.8,48.2,3.3,1.0,1.7,7.2
95,BU01970104,BU01970104,       .,       .,       .,       .,       .,       .,0.9,5.4,42.6,4.6,7.9,51.2,4.7,0.6,2.0,6.6
96,BU01970105,BU01970105,       .,       .,       .,       .,       .,       .,0.3,5.4,43.0,5.5,8.0,51.2,5.4,0.1,2.0,7.0
97,BU01970106,BU01970106,       .,       .,       .,       .,       .,       .,1.2,5.2,37.9,5.2,5.2,49.6,5.1,0.3,2.0,10.0
98,BU01970107,BU01970107,       .,       .,       .,       .,       .,       .,1.1,2.7,39.4,2.8,4.8,47.7,2.9,1.0,1.7,8.9
99,BU01970108,BU01970108,       .,       .,       .,       .,       .,       .,1.6,4.9,37.9,4.9,5.4,49.2,5.2,0.4,1.9,9.5
100,BU01970109,BU01970109,       .,       .,       .,       .,       .,       .,2.5,5.3,35.9,4.1,5.0,44.9,4.7,0.7,1.4,9.6
101,BU01970110,BU01970110,       .,       .,       .,       .,       .,       .,1.0,2.6,38.8,2.2,3.1,45.0,2.0,1.0,1.1,9.0
102,BU01970111,BU01970111,       .,       .,       .,       .,       .,       .,2.4,4.1,43.5,4.1,3.9,46.7,4.1,0.7,1.7,6.6
103,BU01970112,BU01970112,       .,       .,       .,       .,       .,       .,2.1,5.5,44.2,5.4,3.0,45.1,5.2,0.0,3.0,6.0
104,WK019702,WK019702,       .,       .,       .,       .,       .,       .,0.6,4.3,41.7,3.9,2.0,43.3,3.6,1.0,2.8,7.3
105,BU01970201,BU01970201,       .,       .,       .,       .,       .,       .,1.3,5.3,40.4,4.8,3.0,41.7,4.6,0.7,3.0,7.9
106,BU01970202,BU01970202,       .,       .,       .,       .,       .,       .,0.2,3.1,41.2,2.6,0.8,43.8,2.4,1.0,1.6,8.2
107,BU01970203,BU01970203,       .,       .,       .,       .,       .,       .,0.9,4.4,42.5,4.1,1.9,44.1,3.9,1.0,2.3,7.2
108,BU01970204,BU01970204,       .,       .,       .,       .,       .,       .,0.6,4.3,41.9,3.9,2.0,43.4,3.6,1.0,3.0,7.1
109,WK019703,WK019703,       .,       .,       .,       .,       .,       .,0.8,1.1,40.4,1.1,2.8,46.1,1.1,1.0,1.2,8.7
110,BU01970301,BU01970301,       .,       .,       .,       .,       .,       .,0.8,1.0,39.9,1.1,3.1,46.1,1.1,1.0,1.0,9.0
111,BU01970302,BU01970302,       .,       .,       .,       .,       .,       .,1.0,0.9,41.1,1.1,3.2,46.6,1.4,1.0,1.5,8.3
112,BU01970303,BU01970303,       .,       .,       .,       .,       .,       .,0.7,1.4,41.6,1.6,3.2,46.7,1.8,1.0,1.6,8.0
113,BU01970304,BU01970304,       .,       .,       .,       .,       .,       .,0.5,1.4,40.0,1.0,2.0,45.2,0.8,1.0,1.0,9.0
114,BU01970305,BU01970305,       .,       .,       .,       .,       .,       .,0.7,1.7,39.6,1.9,3.9,46.8,1.8,1.0,1.0,9.0
115,BU01970306,BU01970306,       .,       .,       .,       .,       .,       .,1.1,1.1,40.8,1.1,2.4,46.0,1.2,1.0,1.0,8.8
116,BU01970307,BU01970307,       .,       .,       .,       .,       .,       .,1.0,0.6,40.3,0.5,2.5,45.7,0.6,1.0,1.0,9.0
117,WK019704,WK019704,       .,       .,       .,       .,       .,       .,1.3,9.7,42.9,1.1,10.1,55.2,1.2,1.0,1.9,5.1
118,BU01970400,BU01970400,       .,       .,       .,       .,       .,       .,1.1,10.0,43.6,0.8,10.8,55.7,0.5,1.0,1.5,4.5
119,BU01970401,BU01970401,       .,       .,       .,       .,       .,       .,1.1,9.9,43.0,0.8,10.2,55.4,1.0,1.0,2.0,5.0
120,BU01970402,BU01970402,       .,       .,       .,       .,       .,       .,1.2,10.4,43.0,0.6,10.3,55.6,1.0,1.0,2.0,5.0
121,BU01970403,BU01970403,       .,       .,       .,       .,       .,       .,2.2,7.5,40.3,3.4,7.4,52.7,3.7,1.0,3.0,7.0
122,BU01970408,BU01970408,       .,       .,       .,       .,       .,       .,0.8,9.1,42.7,1.7,9.9,54.6,1.8,1.0,2.0,4.4
123,BU01970409,BU01970409,       .,       .,       .,       .,       .,       .,2.3,7.2,40.7,4.0,7.8,52.6,4.2,0.7,2.4,6.9
124,GM0059,GM0059,       .,       .,       .,       .,       .,       .,1.3,7.3,27.0,3.0,6.7,28.5,3.8,0.9,2.4,8.7
125,WK005900,WK005900,       .,       .,       .,       .,       .,       .,1.3,3.4,24.9,3.1,3.8,26.2,3.5,1.2,3.1,9.0
126,BU00590000,BU00590000,       .,       .,       .,       .,       .,       .,0.9,1.5,27.0,0.8,0.8,28.3,1.2,2.0,2.0,8.0
127,BU00590001,BU00590001,       .,       .,       .,       .,       .,       .,0.3,4.6,22.5,4.6,5.0,23.7,4.5,1.8,4.7,8.3
128,BU00590002,BU00590002,       .,       .,       .,       .,       .,       .,0.8,7.6,23.5,7.2,6.7,24.7,5.1,0.4,3.9,8.4
129,BU00590003,BU00590003,       .,       .,       .,       .,       .,       .,3.1,1.6,20.5,2.3,8.3,21.7,6.5,0.0,4.3,13.3
130,BU00590004,BU00590004,       .,       .,       .,       .,       .,       .,3.1,6.1,27.7,5.7,5.4,29.4,5.6,0.0,3.0,8.8
131,BU00590005,BU00590005,       .,       .,       .,       .,       .,       .,0.8,2.6,27.0,2.2,2.1,28.3,2.4,1.8,2.6,8.2
132,BU00590006,BU00590006,       .,       .,       .,       .,       .,       .,1.5,4.6,23.4,4.4,4.8,24.7,4.2,1.8,4.6,7.9
133,BU00590007,BU00590007,       .,       .,       .,       .,       .,       .,0.8,6.2,22.2,6.2,6.3,23.4,5.7,0.1,3.9,9.8
134,BU00590008,BU00590008,       .,       .,       .,       .,       .,       .,2.2,2.9,20.6,3.5,6.8,21.8,6.1,0.0,4.6,12.7
135,BU00590009,BU00590009,       .,       .,       .,       .,       .,       .,3.2,6.2,28.7,5.7,5.3,30.3,5.3,0.6,3.3,7.9
136,WK005901,WK005901,       .,       .,       .,       .,       .,       .,1.3,7.9,26.6,5.7,7.0,27.9,4.1,0.7,3.2,8.5
137,BU00590100,BU00590100,       .,       .,       .,       .,       .,       .,4.0,7.1,26.7,6.6,6.3,28.3,4.5,0.9,3.0,9.8
138,BU00590102,BU00590102,       .,       .,       .,       .,       .,       .,0.8,9.1,25.0,6.0,8.6,26.2,2.9,1.0,3.0,9.0
139,BU00590103,BU00590103,       .,       .,       .,       .,       .,       .,1.4,6.3,28.7,5.3,5.1,29.9,5.7,0.1,3.6,7.7
140,BU00590107,BU00590107,       .,       .,       .,       .,       .,       .,3.2,7.5,27.7,6.8,6.4,29.4,5.0,0.5,3.3,9.3
141,BU00590108,BU00590108,       .,       .,       .,       .,       .,       .,1.2,9.3,25.6,5.7,8.9,26.9,3.0,1.0,2.3,7.9
142,BU00590109,BU00590109,       .,       .,       .,       .,       .,       .,1.7,6.0,28.4,4.2,4.7,29.6,4.8,1.2,3.5,7.9
143,WK005902,WK005902,       .,       .,       .,       .,       .,       .,1.4,10.8,29.0,2.3,9.2,30.8,4.0,0.6,1.7,8.4
144,BU00590200,BU00590200,       .,       .,       .,       .,       .,       .,1.5,10.8,30.0,0.9,9.5,32.0,5.0,0.4,1.4,8.9
145,BU00590201,BU00590201,       .,       .,       .,       .,       .,       .,1.2,10.7,27.5,3.1,9.4,28.8,1.9,1.0,1.3,8.0
146,BU00590202,BU00590202,       .,       .,       .,       .,       .,       .,0.4,7.2,30.4,4.2,5.9,31.7,6.1,0.0,4.0,8.1
147,BU00590203,BU00590203,       .,       .,       .,       .,       .,       .,2.8,14.2,29.0,3.5,10.3,31.5,4.3,1.0,2.0,7.1
148,BU00590206,BU00590206,       .,       .,       .,       .,       .,       .,1.5,11.8,30.1,1.9,10.5,32.5,5.5,0.3,1.0,8.6
149,BU00590207,BU00590207,       .,       .,       .,       .,       .,       .,1.2,10.6,27.4,3.9,9.3,28.9,1.9,1.0,2.3,7.9
150,BU00590208,BU00590208,       .,       .,       .,       .,       .,       .,1.3,8.6,29.6,4.2,7.4,31.5,6.1,0.2,3.6,8.4
151,BU00590209,BU00590209,       .,       .,       .,       .,       .,       .,1.5,14.2,28.0,4.4,9.2,30.4,3.9,0.8,2.0,7.5
152,GM0482,GM0482,       .,       .,       .,       .,       .,       .,2.3,8.4,11.4,1.4,1.1,11.8,9.4,0.0,1.0,25.8
153,WK048201,WK048201,       .,       .,       .,       .,       .,       .,1.7,7.8,10.9,0.8,1.1,11.4,9.4,0.0,1.3,25.7
154,BU04820101,BU04820101,       .,       .,       .,       .,       .,       .,2.0,8.2,11.4,1.1,1.0,11.8,9.7,0.0,1.5,25.9
155,BU04820102,BU04820102,       .,       .,       .,       .,       .,       .,1.7,7.9,11.1,0.7,0.9,11.5,9.5,0.0,1.0,25.4
156,BU04820103,BU04820103,       .,       .,       .,       .,       .,       .,1.7,7.7,10.7,0.7,1.0,11.1,9.3,0.0,1.0,25.5
157,BU04820104,BU04820104,       .,       .,       .,       .,       .,       .,1.1,7.2,10.4,0.7,1.5,10.8,8.8,0.0,1.9,26.3
158,BU04820105,BU04820105,       .,       .,       .,       .,       .,       .,1.6,7.8,11.1,0.8,1.3,11.5,9.4,0.0,1.3,25.8
159,WK048202,WK048202,       .,       .,       .,       .,       .,       .,3.3,9.6,12.7,2.4,2.0,12.5,8.5,0.0,1.0,27.0
160,BU04820201,BU04820201,       .,       .,       .,       .,       .,       .,2.8,9.5,12.8,2.1,2.4,12.1,8.1,0.0,1.0,26.8
161,BU04820202,BU04820202,       .,       .,       .,       .,       .,       .,3.5,9.7,12.9,2.6,2.1,12.6,8.5,0.0,1.0,27.0
162,BU04820203,BU04820203,       .,       .,       .,       .,       .,       .,3.0,9.3,12.2,2.0,1.4,12.7,9.1,0.0,1.0,27.0
163,BU04820204,BU04820204,       .,       .,       .,       .,       .,       .,2.3,8.5,11.8,1.5,1.7,12.2,9.1,0.0,1.4,27.0
164,BU04820205,BU04820205,       .,       .,       .,       .,       .,       .,3.3,9.5,12.6,2.4,1.8,12.8,8.6,0.0,1.0,27.0
165,BU04820206,BU04820206,       .,       .,       .,       .,       .,       .,3.4,9.6,12.8,2.6,2.2,12.5,8.3,0.0,1.0,27.0
166,WK048203,WK048203,       .,       .,       .,       .,       .,       .,2.4,8.6,11.5,1.4,0.7,12.0,9.9,0.0,0.7,25.6
167,BU04820301,BU04820301,       .,       .,       .,       .,       .,       .,2.8,9.0,11.9,1.8,1.0,12.3,10.2,0.0,0.2,25.2
168,BU04820302,BU04820302,       .,       .,       .,       .,       .,       .,2.6,8.8,11.7,1.6,0.6,12.1,10.1,0.0,0.3,25.3
169,BU04820303,BU04820303,       .,       .,       .,       .,       .,       .,2.7,8.7,11.6,1.7,0.7,12.0,10.3,0.0,0.0,25.0
170,BU04820304,BU04820304,       .,       .,       .,       .,       .,       .,2.3,8.4,11.3,1.2,0.4,11.7,10.0,0.0,0.5,25.0
171,BU04820305,BU04820305,       .,       .,       .,       .,       .,       .,1.9,8.0,11.0,0.9,0.5,11.4,9.6,0.0,1.0,25.1
172,BU04820306,BU04820306,       .,       .,       .,       .,       .,       .,2.2,8.4,11.4,1.2,0.5,11.8,9.9,0.0,1.1,25.7
173,BU04820307,BU04820307,       .,       .,       .,       .,       .,       .,2.6,8.8,11.8,1.6,1.0,12.3,9.4,0.0,1.0,26.9
174,WK048204,WK048204,       .,       .,       .,       .,       .,       .,2.0,7.9,10.8,1.3,0.8,11.2,9.4,0.0,1.2,25.0
175,BU04820401,BU04820401,       .,       .,       .,       .,       .,       .,2.4,8.2,11.1,1.6,0.9,11.5,9.8,0.0,0.9,24.8
176,BU04820402,BU04820402,       .,       .,       .,       .,       .,       .,1.9,7.8,10.7,1.2,0.7,11.1,9.4,0.0,1.0,25.0
177,BU04820403,BU04820403,       .,       .,       .,       .,       .,       .,1.3,7.1,10.0,1.6,1.5,10.5,8.7,0.0,3.1,25.3
178,BU04820404,BU04820404,       .,       .,       .,       .,       .,       .,2.0,7.9,10.8,1.0,0.6,11.2,9.5,0.0,1.0,25.0
179,WK048205,WK048205,       .,       .,       .,       .,       .,       .,0.8,7.0,10.2,1.2,2.0,10.6,8.6,0.0,3.0,27.0
180,BU04820501,BU04820501,       .,       .,       .,       .,       .,       .,0.8,7.0,10.2,1.1,1.8,10.6,8.6,0.0,3.0,27.0
181,BU04820502,BU04820502,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .
182,BU04820503,BU04820503,       .,       .,       .,       .,       .,       .,0.8,6.9,10.2,2.1,2.9,10.6,8.6,0.0,3.0,27.0
183,WK048206,WK048206,       .,       .,       .,       .,       .,       .,1.9,7.5,10.6,2.0,1.9,11.0,9.0,0.0,2.3,24.1
184,BU04820601,BU04820601,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .
185,BU04820602,BU04820602,       .,       .,       .,       .,       .,       .,2.8,8.6,11.5,2.2,1.8,11.9,10.1,0.0,0.3,18.1
186,BU04820603,BU04820603,       .,       .,       .,       .,       .,       .,2.9,8.6,11.5,2.4,2.1,12.0,10.1,0.0,0.6,17.7
187,BU04820604,BU04820604,       .,       .,       .,       .,       .,       .,1.3,6.8,9.9,1.8,1.9,10.4,8.3,0.0,3.4,27.4
188,GM0613,GM0613,       .,       .,       .,       .,       .,       .,1.6,9.1,10.9,3.6,2.7,13.9,8.9,0.0,8.8,26.8
189,WK061301,WK061301,       .,       .,       .,       .,       .,       .,0.6,10.8,11.9,3.3,3.2,15.0,10.0,0.0,1.4,25.3
190,BU06130101,BU06130101,       .,       .,       .,       .,       .,       .,0.6,10.9,12.0,3.3,3.3,15.1,10.1,0.0,0.8,25.3
191,BU06130102,BU06130102,       .,       .,       .,       .,       .,       .,0.4,10.3,11.4,3.4,2.7,14.6,9.5,0.0,3.9,25.3
192,BU06130103,BU06130103,       .,       .,       .,       .,       .,       .,0.6,10.0,11.1,4.3,2.8,14.2,9.2,0.0,8.1,26.0
