ID,DistrictsAndNeighbourhoods,Encoding_3,DistanceToSemiPublicGreenTotal_83,DistanceToSportsArea_84,DistanceToAllotmentGarden_85,DistanceToRecreationalArea_86,DistanceToCemetery_87,DistanceToRecreationalInlandWaters_88,DistanceToMainRoadEntrance_89,DistanceToTrainStationAllTypes_90,DistanceToImportantTransferStation_91,DistanceToLibrary_92,DistanceToSwimmingPool_93,DistanceToArtificialIceSkatingRink_94,DistanceToMuseum_95,Within5Km_96,Within10Km_97,Within20Km_98
8167,BU19111601,BU19111601,       .,       .,       .,       .,       .,       .,1.0,10.4,18.8,1.1,3.1,18.0,1.5,1.0,1.3,14.5
8168,BU19111602,BU19111602,       .,       .,       .,       .,       .,       .,1.1,10.6,19.6,0.7,2.7,18.2,2.1,1.0,1.0,14.1
8169,BU19111690,BU19111690,       .,       .,       .,       .,       .,       .,1.6,8.8,18.1,2.9,4.6,17.2,2.3,1.0,1.5,15.7
8170,WK191117,WK191117,       .,       .,       .,       .,       .,       .,1.3,7.5,18.0,3.5,4.1,19.2,3.3,1.0,2.9,13.1
8171,BU19111701,BU19111701,       .,       .,       .,       .,       .,       .,1.2,7.5,17.9,3.4,4.2,19.0,3.2,1.0,3.0,13.2
8172,BU19111702,BU19111702,       .,       .,       .,       .,       .,       .,1.4,7.1,18.2,3.7,4.0,19.3,3.3,1.0,3.0,14.0
8173,BU19111790,BU19111790,       .,       .,       .,       .,       .,       .,1.5,7.2,18.8,4.0,4.1,19.9,3.8,0.9,2.6,12.4
8174,WK191118,WK191118,       .,       .,       .,       .,       .,       .,0.3,6.2,17.3,2.8,5.1,18.5,4.6,0.9,3.7,12.8
8175,BU19111801,BU19111801,       .,       .,       .,       .,       .,       .,0.3,6.1,17.4,2.8,4.9,18.6,4.7,0.9,4.0,12.9
8176,BU19111890,BU19111890,       .,       .,       .,       .,       .,       .,0.3,6.4,17.1,2.7,5.4,18.2,4.3,0.8,3.1,12.4
8177,WK191119,WK191119,       .,       .,       .,       .,       .,       .,0.5,7.8,16.2,2.9,5.8,16.2,2.9,1.0,2.1,17.2
8178,BU19111901,BU19111901,       .,       .,       .,       .,       .,       .,0.5,8.1,16.3,2.8,5.8,16.4,3.0,1.0,2.0,17.8
8179,BU19111990,BU19111990,       .,       .,       .,       .,       .,       .,0.6,7.4,16.2,3.1,5.9,16.1,2.7,1.0,2.2,16.5
8180,GM0118,GM0118,       .,       .,       .,       .,       .,       .,1.9,4.3,24.1,3.4,3.6,53.9,10.0,0.0,0.5,2.5
8181,WK011850,WK011850,       .,       .,       .,       .,       .,       .,1.6,2.6,24.2,1.9,1.7,53.3,9.9,0.0,0.6,2.3
8182,BU01185000,BU01185000,       .,       .,       .,       .,       .,       .,1.2,1.6,23.3,0.9,1.6,52.3,9.3,0.0,1.0,2.0
8183,BU01185001,BU01185001,       .,       .,       .,       .,       .,       .,1.6,0.7,24.0,0.5,1.9,51.4,10.0,0.0,0.3,2.8
8184,BU01185002,BU01185002,       .,       .,       .,       .,       .,       .,2.2,2.2,24.6,1.3,0.4,52.9,10.7,0.0,0.0,2.7
8185,BU01185003,BU01185003,       .,       .,       .,       .,       .,       .,1.7,3.5,25.6,2.8,1.8,54.2,11.5,0.0,0.0,2.9
8186,BU01185004,BU01185004,       .,       .,       .,       .,       .,       .,1.6,3.6,24.8,2.7,1.6,54.3,10.3,0.0,0.3,2.2
8187,BU01185005,BU01185005,       .,       .,       .,       .,       .,       .,1.7,2.8,23.7,1.9,1.6,53.5,9.2,0.0,1.0,2.0
8188,BU01185006,BU01185006,       .,       .,       .,       .,       .,       .,0.7,2.3,22.6,2.0,2.2,52.6,8.6,0.0,1.0,2.0
8189,BU01185007,BU01185007,       .,       .,       .,       .,       .,       .,1.0,1.3,23.0,1.0,2.0,52.1,9.1,0.0,1.0,2.0
8190,BU01185008,BU01185008,       .,       .,       .,       .,       .,       .,1.7,1.8,23.8,0.8,1.2,52.5,9.8,0.0,0.8,2.2
8191,WK011851,WK011851,       .,       .,       .,       .,       .,       .,1.6,3.5,21.2,3.4,3.9,51.5,7.1,0.0,1.0,2.0
8192,BU01185100,BU01185100,       .,       .,       .,       .,       .,       .,1.5,2.9,21.4,2.9,3.7,51.0,7.4,0.0,1.0,2.0
8193,BU01185101,BU01185101,       .,       .,       .,       .,       .,       .,2.3,3.4,21.6,3.3,4.2,51.1,7.6,0.0,1.0,2.0
8194,BU01185102,BU01185102,       .,       .,       .,       .,       .,       .,1.5,2.4,21.9,2.4,3.3,51.0,8.0,0.0,1.0,2.0
8195,BU01185103,BU01185103,       .,       .,       .,       .,       .,       .,0.9,2.5,21.8,2.5,3.2,51.5,7.9,0.0,1.0,2.0
8196,BU01185104,BU01185104,       .,       .,       .,       .,       .,       .,0.8,2.4,22.0,2.4,3.1,51.8,8.1,0.0,1.0,2.0
8197,BU01185105,BU01185105,       .,       .,       .,       .,       .,       .,0.8,3.1,21.5,3.0,3.2,52.0,7.5,0.0,1.0,2.0
8198,BU01185106,BU01185106,       .,       .,       .,       .,       .,       .,1.2,3.5,21.1,3.4,3.7,51.6,7.1,0.0,1.0,2.0
8199,BU01185107,BU01185107,       .,       .,       .,       .,       .,       .,1.7,3.9,20.5,3.9,4.1,51.0,6.6,0.0,1.0,2.1
8200,BU01185108,BU01185108,       .,       .,       .,       .,       .,       .,2.1,3.6,20.9,3.6,4.4,51.3,7.0,0.0,1.0,2.0
8201,BU01185109,BU01185109,       .,       .,       .,       .,       .,       .,2.2,4.5,20.7,4.4,4.7,51.6,6.2,0.0,1.0,2.0
8202,WK011852,WK011852,       .,       .,       .,       .,       .,       .,1.1,3.0,22.0,3.3,4.6,48.7,9.6,0.0,0.9,2.2
8203,BU01185200,BU01185200,       .,       .,       .,       .,       .,       .,0.8,2.7,22.3,3.0,4.3,49.0,9.4,0.0,1.0,2.0
8204,BU01185201,BU01185201,       .,       .,       .,       .,       .,       .,2.7,4.6,20.6,4.9,6.2,47.6,10.5,0.0,0.3,2.9
