ID,DistrictsAndNeighbourhoods,Encoding_3,Within1Km_45,Within3Km_46,Within5Km_47,DistanceToHotelEtc_48,Within5Km_49,Within105km_50,Within20Km_51,DistanceToDaycareCentres_52,Within1Km_53,Within3Km_54,Within5Km_55,DistanceToOutOfSchoolCare_56,Within1Km_57,Within3Km_58,Within5Km_59,DistanceToSchool_60,Within1Km_61,Within3Km_62,Within5Km_63
0,NL00,NL00,8.0,66.0,145.3,       .,       .,       .,       .,0.7,2.8,19.1,43.5,0.8,2.2,14.2,32.6,0.8,1.7,9.9,22.0
1,GM1680,GM1680,1.8,4.1,9.0,       .,       .,       .,       .,1.2,1.2,2.7,4.8,1.1,1.4,3.1,5.6,1.2,0.8,1.8,3.6
2,WK168000,WK168000,2.7,4.8,12.1,       .,       .,       .,       .,0.5,1.9,4.2,6.2,0.6,1.9,4.7,7.6,0.8,0.7,2.5,4.8
3,BU16800000,BU16800000,2.8,4.8,12.3,       .,       .,       .,       .,0.5,2.0,4.2,6.2,0.6,2.0,4.8,7.6,0.8,0.7,2.5,4.9
4,BU16800009,BU16800009,0.2,4.2,7.1,       .,       .,       .,       .,1.8,0.0,2.5,5.9,1.8,0.1,2.8,6.9,2.0,0.0,1.2,3.5
5,WK168001,WK168001,0.9,2.0,7.0,       .,       .,       .,       .,1.3,0.2,1.1,5.1,1.3,0.2,1.1,7.2,1.1,0.6,1.0,4.2
6,BU16800100,BU16800100,1.0,2.0,6.8,       .,       .,       .,       .,1.2,0.3,1.0,5.0,1.2,0.3,1.0,7.2,0.9,0.7,1.0,4.2
7,BU16800109,BU16800109,0.0,2.2,8.1,       .,       .,       .,       .,2.0,0.0,1.6,5.7,2.0,0.0,2.2,7.7,2.1,0.1,1.3,3.6
8,WK168002,WK168002,1.0,4.7,6.0,       .,       .,       .,       .,2.5,0.0,2.0,4.1,0.6,1.0,3.1,5.1,0.6,1.0,2.0,2.4
9,BU16800200,BU16800200,1.0,4.7,6.0,       .,       .,       .,       .,2.5,0.0,2.1,4.1,0.5,1.0,3.1,5.1,0.5,1.0,2.0,2.4
10,BU16800209,BU16800209,0.8,4.5,6.0,       .,       .,       .,       .,2.6,0.0,1.8,4.1,0.9,0.8,2.8,5.1,0.9,0.8,1.9,2.3
11,WK168003,WK168003,0.0,0.9,3.3,       .,       .,       .,       .,5.3,0.0,0.0,0.2,2.8,0.0,0.7,1.4,2.8,0.0,0.7,1.1
12,BU16800300,BU16800300,0.0,0.9,3.3,       .,       .,       .,       .,5.3,0.0,0.0,0.1,2.9,0.0,0.7,1.3,2.9,0.0,0.7,1.1
13,BU16800309,BU16800309,0.0,1.0,5.4,       .,       .,       .,       .,4.5,0.0,0.0,1.8,2.3,0.0,0.7,2.9,2.3,0.0,0.7,1.9
14,WK168004,WK168004,0.0,0.3,8.9,       .,       .,       .,       .,4.2,0.0,0.1,3.1,4.2,0.0,0.1,3.1,4.2,0.0,0.0,1.9
15,BU16800400,BU16800400,0.0,0.0,9.0,       .,       .,       .,       .,4.3,0.0,0.0,3.2,4.3,0.0,0.0,3.2,4.3,0.0,0.0,1.9
16,BU16800409,BU16800409,0.0,2.7,8.7,       .,       .,       .,       .,3.7,0.0,0.9,3.0,3.7,0.0,0.9,3.0,3.7,0.0,0.4,1.4
17,WK168005,WK168005,0.4,6.0,21.0,       .,       .,       .,       .,1.3,0.2,3.4,7.9,1.2,0.4,3.7,9.9,1.0,0.5,4.2,8.9
18,BU16800500,BU16800500,0.5,6.1,21.4,       .,       .,       .,       .,1.3,0.2,3.4,8.0,1.1,0.4,3.7,10.0,1.0,0.6,4.3,9.0
19,BU16800509,BU16800509,0.0,5.0,17.1,       .,       .,       .,       .,1.9,0.3,3.1,7.0,1.6,0.4,3.8,9.0,1.5,0.4,4.1,8.1
20,WK168006,WK168006,0.8,1.3,3.8,       .,       .,       .,       .,0.5,0.8,1.2,3.4,0.5,0.8,1.2,3.4,0.5,0.8,1.1,2.4
21,BU16800600,BU16800600,0.8,1.3,3.8,       .,       .,       .,       .,0.5,0.8,1.2,3.4,0.5,0.8,1.2,3.4,0.5,0.8,1.1,2.5
22,BU16800609,BU16800609,0.3,1.1,2.6,       .,       .,       .,       .,1.2,0.2,1.2,2.2,1.2,0.2,1.2,2.2,1.2,0.2,1.0,1.2
23,WK168007,WK168007,1.0,1.0,6.0,       .,       .,       .,       .,0.7,0.9,1.0,3.1,0.7,0.9,1.0,4.0,3.7,0.0,0.0,3.0
24,BU16800700,BU16800700,1.0,1.0,6.0,       .,       .,       .,       .,0.7,0.9,1.0,3.1,0.7,0.9,1.0,4.0,3.7,0.0,0.0,3.0
25,BU16800709,BU16800709,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .
26,WK168008,WK168008,0.4,1.5,3.7,       .,       .,       .,       .,0.7,0.7,1.6,2.4,0.7,0.7,1.6,2.8,2.7,0.0,0.6,1.9
27,BU16800800,BU16800800,0.5,1.5,3.9,       .,       .,       .,       .,0.6,0.7,1.5,2.5,0.6,0.7,1.5,2.9,2.8,0.0,0.5,1.9
28,BU16800809,BU16800809,0.0,1.5,2.0,       .,       .,       .,       .,1.5,0.4,2.0,2.0,1.5,0.4,2.0,2.0,2.2,0.0,1.0,1.4
29,WK168009,WK168009,0.1,1.0,1.6,       .,       .,       .,       .,2.1,0.0,1.0,1.3,2.1,0.0,1.0,1.3,2.2,0.0,1.0,1.3
30,BU16800900,BU16800900,0.1,1.0,1.7,       .,       .,       .,       .,2.1,0.0,1.0,1.3,2.1,0.0,1.0,1.3,2.3,0.0,1.0,1.3
31,BU16800909,BU16800909,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .
32,WK168011,WK168011,0.0,0.5,2.9,       .,       .,       .,       .,3.4,0.0,0.3,2.1,3.4,0.0,0.3,2.1,4.4,0.0,0.0,1.3
33,BU16801100,BU16801100,0.0,0.5,2.9,       .,       .,       .,       .,3.4,0.0,0.3,2.1,3.4,0.0,0.3,2.1,4.4,0.0,0.0,1.3
34,BU16801109,BU16801109,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .
35,WK168012,WK168012,0.4,1.5,3.3,       .,       .,       .,       .,2.2,0.0,1.5,2.8,2.2,0.0,1.5,2.8,2.2,0.0,1.5,2.8
36,BU16801200,BU16801200,0.4,1.5,3.2,       .,       .,       .,       .,2.2,0.0,1.5,2.7,2.2,0.0,1.5,2.7,2.2,0.0,1.5,2.7
37,BU16801209,BU16801209,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .
38,WK168013,WK168013,0.0,0.4,5.1,       .,       .,       .,       .,3.1,0.0,0.5,4.0,3.1,0.0,0.5,5.5,3.1,0.0,0.5,3.0
39,BU16801300,BU16801300,0.0,0.5,4.9,       .,       .,       .,       .,2.9,0.0,0.6,4.0,2.9,0.0,0.6,5.5,2.9,0.0,0.6,2.9
40,BU16801309,BU16801309,0.0,0.0,5.4,       .,       .,       .,       .,3.5,0.0,0.1,4.1,3.5,0.0,0.1,5.6,3.5,0.0,0.1,3.1
41,WK168014,WK168014,2.1,6.5,12.9,       .,       .,       .,       .,0.7,1.5,2.2,6.1,0.7,1.5,2.3,7.7,0.9,0.7,1.6,6.0
42,BU16801400,BU16801400,2.5,6.7,13.2,       .,       .,       .,       .,0.4,1.8,2.0,6.2,0.4,1.8,2.0,7.8,0.6,0.9,1.5,6.3
43,BU16801401,BU16801401,0.5,3.9,12.2,       .,       .,       .,       .,2.4,0.0,2.0,6.9,2.4,0.0,2.0,8.9,2.5,0.0,1.3,5.9
44,BU16801409,BU16801409,0.6,6.1,10.8,       .,       .,       .,       .,1.9,0.0,4.0,5.0,1.9,0.0,4.9,6.3,2.2,0.0,2.7,4.0
45,WK168015,WK168015,0.9,1.1,5.3,       .,       .,       .,       .,0.7,0.9,1.0,2.6,0.7,0.9,1.0,2.6,0.7,1.7,2.0,2.9
46,BU16801500,BU16801500,0.9,1.1,5.3,       .,       .,       .,       .,0.7,0.9,1.0,2.6,0.7,0.9,1.0,2.6,0.7,1.7,2.0,2.9
47,BU16801501,BU16801501,0.0,1.4,3.4,       .,       .,       .,       .,2.0,0.0,1.3,2.1,2.0,0.0,1.3,2.1,2.0,0.0,2.3,3.0
48,BU16801509,BU16801509,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .
49,WK168016,WK168016,0.0,5.1,15.3,       .,       .,       .,       .,2.3,0.0,1.8,5.9,2.3,0.0,1.2,4.9,1.9,0.3,2.8,7.9
50,BU16801600,BU16801600,0.0,5.6,16.3,       .,       .,       .,       .,2.2,0.0,1.9,6.2,2.2,0.0,1.3,5.2,1.8,0.4,3.0,8.2
51,BU16801601,BU16801601,0.0,0.0,3.9,       .,       .,       .,       .,3.7,0.0,0.0,3.6,3.7,0.0,0.0,2.3,3.5,0.0,0.0,4.4
52,BU16801609,BU16801609,0.0,0.7,3.0,       .,       .,       .,       .,1.7,0.0,1.0,1.3,1.7,0.0,1.0,1.3,1.7,0.0,2.0,3.0
53,WK168017,WK168017,2.7,4.2,9.7,       .,       .,       .,       .,0.6,2.0,3.9,6.3,0.5,3.1,5.9,8.3,0.7,1.5,2.9,4.6
54,BU16801700,BU16801700,2.8,4.3,9.7,       .,       .,       .,       .,0.5,2.1,4.0,6.3,0.5,3.2,6.0,8.3,0.7,1.6,3.0,4.6
55,BU16801709,BU16801709,0.1,3.3,7.8,       .,       .,       .,       .,2.7,0.0,2.2,5.3,2.6,0.0,3.1,7.2,2.7,0.0,1.6,4.2
56,WK168018,WK168018,0.6,1.1,3.0,       .,       .,       .,       .,1.3,0.5,1.0,2.6,1.4,0.5,1.0,2.5,1.4,0.5,1.0,2.8
57,BU16801800,BU16801800,1.0,1.0,3.2,       .,       .,       .,       .,0.6,1.0,1.0,2.3,0.6,1.0,1.0,2.3,0.6,1.0,1.0,2.5
58,BU16801801,BU16801801,0.0,1.4,2.0,       .,       .,       .,       .,1.9,0.0,1.3,2.2,1.9,0.0,1.3,2.2,1.9,0.0,1.6,3.8
59,BU16801802,BU16801802,0.4,0.9,3.3,       .,       .,       .,       .,2.6,0.0,0.7,3.6,2.7,0.0,0.6,3.0,2.7,0.0,0.6,3.1
60,BU16801809,BU16801809,0.1,1.5,2.6,       .,       .,       .,       .,1.9,0.1,1.2,2.5,1.9,0.1,1.2,2.4,1.9,0.1,1.2,2.7
61,WK168019,WK168019,2.4,6.9,9.8,       .,       .,       .,       .,0.9,1.3,3.6,4.7,0.9,1.3,3.6,4.7,1.2,0.5,1.0,1.8
62,BU16801900,BU16801900,3.2,7.2,8.3,       .,       .,       .,       .,0.7,1.6,3.7,4.4,0.7,1.6,3.7,4.4,0.9,0.7,1.0,1.4
63,BU16801901,BU16801901,0.0,8.0,14.1,       .,       .,       .,       .,2.2,0.0,2.2,8.2,2.2,0.0,2.2,7.8,2.2,0.0,1.0,5.0
64,BU16801902,BU16801902,0.0,8.0,8.0,       .,       .,       .,       .,2.1,0.0,2.0,5.2,2.1,0.0,2.0,5.8,2.2,0.0,1.2,3.2
65,BU16801903,BU16801903,0.7,2.8,58.7,       .,       .,       .,       .,3.1,0.0,0.7,10.4,3.1,0.0,1.0,9.5,3.2,0.0,0.7,6.7
66,BU16801908,BU16801908,0.0,5.9,9.8,       .,       .,       .,       .,0.9,0.7,3.9,4.8,0.9,0.7,3.9,4.8,2.3,0.0,1.0,2.0
67,BU16801909,BU16801909,0.3,4.0,14.3,       .,       .,       .,       .,2.3,0.0,2.9,5.5,2.3,0.0,3.0,5.1,2.8,0.0,0.9,2.7
68,WK168020,WK168020,1.4,2.5,4.6,       .,       .,       .,       .,1.8,0.5,1.3,2.4,2.2,0.4,0.6,1.5,2.2,0.4,0.6,1.0
69,BU16802000,BU16802000,2.3,3.0,4.6,       .,       .,       .,       .,0.6,0.9,2.0,2.3,0.6,0.9,1.0,1.3,0.6,0.9,1.0,1.0
70,BU16802001,BU16802001,1.6,2.1,4.9,       .,       .,       .,       .,2.5,0.0,1.0,2.0,4.4,0.0,0.0,1.0,4.4,0.0,0.0,1.0
71,BU16802008,BU16802008,0.0,1.6,4.1,       .,       .,       .,       .,3.7,0.0,0.1,3.2,3.7,0.0,0.1,2.2,3.9,0.0,0.0,1.0
72,BU16802009,BU16802009,0.1,2.6,4.9,       .,       .,       .,       .,2.3,0.2,1.1,2.4,3.1,0.0,0.7,1.5,3.1,0.0,0.7,1.2
73,WK168021,WK168021,0.0,0.5,2.7,       .,       .,       .,       .,4.6,0.0,0.1,1.4,4.6,0.0,0.1,1.4,1.1,0.6,1.0,1.8
74,BU16802100,BU16802100,0.0,0.1,1.2,       .,       .,       .,       .,4.9,0.0,0.0,1.1,4.9,0.0,0.0,1.1,0.4,1.0,1.0,1.5
75,BU16802101,BU16802101,0.0,1.0,2.9,       .,       .,       .,       .,4.5,0.0,0.0,1.0,4.5,0.0,0.0,1.0,1.5,0.0,1.0,2.0
76,BU16802109,BU16802109,0.1,0.9,5.1,       .,       .,       .,       .,4.2,0.0,0.4,2.2,4.2,0.0,0.4,2.3,2.0,0.2,1.1,2.2
77,GM0358,GM0358,3.6,16.0,36.8,       .,       .,       .,       .,0.6,1.3,5.7,16.1,0.7,1.2,5.5,14.8,0.8,1.4,3.9,9.9
78,WK035800,WK035800,6.5,25.4,36.4,       .,       .,       .,       .,0.6,1.7,7.3,16.3,0.8,1.0,5.0,14.2,0.8,0.9,3.5,11.3
79,BU03580000,BU03580000,10.7,24.6,36.8,       .,       .,       .,       .,0.5,1.9,8.0,14.7,0.7,0.9,5.0,11.0,0.6,1.2,3.0,10.3
80,BU03580001,BU03580001,6.9,26.3,36.8,       .,       .,       .,       .,0.5,1.8,7.5,17.2,0.8,0.9,4.9,15.5,0.9,0.8,3.2,12.2
81,BU03580004,BU03580004,1.7,25.9,37.6,       .,       .,       .,       .,0.6,1.8,6.9,18.3,0.6,1.8,5.8,17.1,0.7,0.9,5.2,12.1
82,BU03580005,BU03580005,3.3,19.0,29.1,       .,       .,       .,       .,1.7,0.4,4.4,9.5,1.8,0.3,2.7,6.6,1.7,0.4,2.3,4.8
83,WK035801,WK035801,1.7,5.0,22.7,       .,       .,       .,       .,0.5,1.3,3.5,11.1,0.6,1.8,5.8,11.8,0.7,1.4,3.2,7.4
84,BU03580100,BU03580100,1.7,5.0,22.7,       .,       .,       .,       .,0.5,1.3,3.5,11.1,0.6,1.8,5.8,11.8,0.7,1.4,3.2,7.4
85,WK035802,WK035802,1.7,13.6,49.7,       .,       .,       .,       .,0.8,0.9,5.5,20.2,0.8,0.8,5.9,18.3,0.9,2.0,5.0,10.2
86,BU03580200,BU03580200,2.3,18.9,43.1,       .,       .,       .,       .,1.1,0.4,5.5,16.5,1.3,0.2,4.1,13.8,1.7,0.0,4.1,8.7
87,BU03580201,BU03580201,0.9,15.6,41.8,       .,       .,       .,       .,1.4,0.2,4.6,18.6,1.5,0.2,3.5,16.6,1.7,0.0,4.1,11.4
88,BU03580205,BU03580205,1.9,12.6,51.2,       .,       .,       .,       .,0.6,1.1,5.6,20.8,0.6,1.1,6.5,18.9,0.6,2.7,5.2,10.1
89,BU03580206,BU03580206,1.1,13.6,59.5,       .,       .,       .,       .,1.7,0.0,6.4,22.6,1.7,0.0,6.7,21.1,2.0,0.0,4.9,11.7
90,GM0197,GM0197,3.4,8.1,12.0,       .,       .,       .,       .,0.8,1.6,4.2,7.8,1.0,1.6,4.0,6.4,0.8,1.8,4.5,7.3
91,WK019701,WK019701,0.3,3.7,11.0,       .,       .,       .,       .,1.5,0.3,2.6,7.8,2.5,0.1,1.8,6.1,1.6,0.3,2.3,6.6
92,BU01970101,BU01970101,0.4,2.6,21.4,       .,       .,       .,       .,0.1,1.0,1.4,14.6,2.9,0.0,0.8,12.7,0.1,1.0,1.1,11.1
93,BU01970102,BU01970102,0.2,3.6,19.5,       .,       .,       .,       .,1.4,0.3,2.2,11.7,3.0,0.0,1.1,10.3,1.4,0.3,2.0,9.3
94,BU01970103,BU01970103,0.1,4.5,10.9,       .,       .,       .,       .,2.6,0.0,2.4,7.8,1.7,0.2,3.1,6.3,2.5,0.0,2.6,6.9
95,BU01970104,BU01970104,0.0,0.6,7.0,       .,       .,       .,       .,1.6,0.2,1.6,5.5,3.5,0.0,0.3,3.2,1.6,0.2,1.3,5.0
96,BU01970105,BU01970105,0.0,0.0,2.9,       .,       .,       .,       .,0.2,1.0,1.0,4.0,4.5,0.0,0.0,2.0,0.2,1.0,1.0,3.0
97,BU01970106,BU01970106,1.0,1.0,5.1,       .,       .,       .,       .,0.3,1.0,1.9,5.7,0.3,1.0,1.0,2.6,0.3,1.0,1.0,4.5
98,BU01970107,BU01970107,0.0,6.3,12.2,       .,       .,       .,       .,1.2,0.4,5.0,9.1,2.3,0.0,3.5,7.2,2.2,0.0,3.8,7.8
99,BU01970108,BU01970108,0.3,1.1,6.0,       .,       .,       .,       .,1.6,0.3,1.5,5.5,1.8,0.3,0.9,3.1,1.7,0.3,1.0,4.2
100,BU01970109,BU01970109,0.0,0.2,11.4,       .,       .,       .,       .,3.2,0.0,0.4,8.1,3.7,0.0,0.2,5.4,3.4,0.0,0.4,6.0
101,BU01970110,BU01970110,0.6,9.1,13.9,       .,       .,       .,       .,1.6,0.2,5.2,9.9,2.0,0.2,4.3,8.5,1.6,0.3,4.9,8.3
102,BU01970111,BU01970111,0.1,4.2,12.0,       .,       .,       .,       .,1.8,0.2,2.5,6.7,3.1,0.0,2.0,6.4,1.8,0.2,2.6,7.0
103,BU01970112,BU01970112,0.6,2.5,8.1,       .,       .,       .,       .,0.2,1.0,1.0,4.7,3.5,0.0,0.0,4.7,0.2,1.0,2.0,4.3
104,WK019702,WK019702,1.5,4.6,17.2,       .,       .,       .,       .,0.7,1.4,2.9,9.3,0.6,2.2,3.5,8.1,0.7,0.8,2.0,9.6
105,BU01970201,BU01970201,0.3,2.9,15.3,       .,       .,       .,       .,1.7,0.2,2.5,7.8,1.9,0.3,2.5,7.3,1.8,0.1,1.7,7.4
106,BU01970202,BU01970202,0.1,11.2,16.9,       .,       .,       .,       .,1.0,0.5,6.4,10.0,1.3,0.2,6.6,9.0,1.7,0.0,6.3,9.9
107,BU01970203,BU01970203,0.0,4.8,16.8,       .,       .,       .,       .,1.3,0.1,3.0,8.6,1.4,0.3,3.4,7.8,1.4,0.3,2.2,9.4
108,BU01970204,BU01970204,2.0,3.9,17.5,       .,       .,       .,       .,0.4,1.7,2.5,9.4,0.3,2.9,3.3,8.1,0.4,1.0,1.4,9.9
109,WK019703,WK019703,4.2,11.0,13.6,       .,       .,       .,       .,0.6,2.2,6.4,10.4,0.7,2.2,6.2,9.1,0.7,2.3,6.0,8.5
110,BU01970301,BU01970301,2.5,11.0,14.3,       .,       .,       .,       .,0.7,2.1,6.5,11.0,0.7,1.6,6.0,10.0,0.7,1.8,6.0,9.0
111,BU01970302,BU01970302,3.1,11.0,12.9,       .,       .,       .,       .,0.6,1.7,6.0,10.2,0.6,2.1,6.0,8.8,0.6,2.2,6.0,8.3
112,BU01970303,BU01970303,0.5,11.0,12.9,       .,       .,       .,       .,1.0,0.4,5.8,9.4,0.9,1.0,6.0,8.9,1.0,0.6,6.0,7.5
113,BU01970304,BU01970304,6.1,11.4,14.2,       .,       .,       .,       .,0.6,2.4,6.9,11.0,0.6,2.4,6.9,9.2,0.6,2.6,6.2,9.0
114,BU01970305,BU01970305,0.0,10.0,12.2,       .,       .,       .,       .,0.5,1.0,6.4,9.2,1.5,0.0,6.0,7.8,1.5,0.0,6.0,7.3
115,BU01970306,BU01970306,3.8,11.0,13.4,       .,       .,       .,       .,0.6,2.3,6.4,11.0,0.6,2.3,6.0,9.0,0.5,2.3,6.0,9.0
116,BU01970307,BU01970307,8.9,11.0,14.0,       .,       .,       .,       .,0.3,4.3,6.4,10.6,0.3,4.3,6.1,9.2,0.4,4.6,6.0,8.6
117,WK019704,WK019704,4.1,6.6,8.9,       .,       .,       .,       .,0.6,1.2,2.0,3.5,0.9,1.1,1.8,2.0,0.6,1.9,3.8,5.3
118,BU01970400,BU01970400,5.8,7.0,9.0,       .,       .,       .,       .,0.4,1.5,2.0,3.3,0.4,1.5,2.0,2.0,0.4,2.3,4.0,5.3
119,BU01970401,BU01970401,4.1,7.1,9.0,       .,       .,       .,       .,0.7,1.4,2.2,3.3,0.7,1.4,2.0,2.0,0.6,2.2,4.2,5.3
120,BU01970402,BU01970402,4.0,7.0,9.0,       .,       .,       .,       .,0.6,1.0,2.1,3.0,0.6,1.0,2.0,2.0,0.6,2.0,4.1,5.0
121,BU01970403,BU01970403,1.8,2.7,9.8,       .,       .,       .,       .,0.4,1.0,1.0,5.5,3.4,0.0,0.0,2.8,0.4,1.0,1.2,6.8
122,BU01970408,BU01970408,0.1,7.4,9.0,       .,       .,       .,       .,1.3,0.1,2.7,3.6,1.3,0.1,2.0,2.0,1.2,0.2,4.5,5.6
123,BU01970409,BU01970409,0.5,3.6,7.7,       .,       .,       .,       .,1.5,0.2,1.9,4.7,3.3,0.0,0.5,2.1,1.6,0.2,2.3,5.6
124,GM0059,GM0059,1.4,3.7,6.2,       .,       .,       .,       .,0.8,1.1,2.9,6.6,1.3,0.9,2.0,4.4,0.7,1.5,3.2,7.1
125,WK005900,WK005900,1.8,4.0,6.4,       .,       .,       .,       .,0.7,1.2,3.0,6.2,1.0,0.9,1.8,3.3,0.7,1.7,3.2,5.7
126,BU00590000,BU00590000,2.9,6.0,8.4,       .,       .,       .,       .,0.6,1.5,3.0,5.3,0.6,1.1,2.0,2.7,0.7,1.9,3.0,4.8
127,BU00590001,BU00590001,0.9,1.9,10.1,       .,       .,       .,       .,0.5,1.7,2.5,10.3,3.1,0.0,0.5,6.0,0.6,0.8,1.9,10.4
128,BU00590002,BU00590002,2.0,2.1,3.1,       .,       .,       .,       .,0.6,0.9,2.7,5.7,0.7,0.9,1.7,2.7,0.4,2.5,4.4,6.6
129,BU00590003,BU00590003,0.9,4.0,5.0,       .,       .,       .,       .,0.5,1.0,4.4,8.6,0.5,1.0,3.0,5.1,0.4,2.0,4.2,6.3
130,BU00590004,BU00590004,0.0,0.0,0.1,       .,       .,       .,       .,0.5,1.8,2.0,2.1,0.5,0.9,1.0,1.1,0.6,0.9,1.0,1.0
131,BU00590005,BU00590005,0.5,5.0,7.4,       .,       .,       .,       .,1.5,0.5,2.7,6.1,1.7,0.4,1.7,3.1,1.8,0.2,2.6,5.0
132,BU00590006,BU00590006,0.3,1.0,10.0,       .,       .,       .,       .,1.7,0.4,3.7,10.6,2.6,0.0,1.3,6.0,1.8,0.2,1.5,9.5
133,BU00590007,BU00590007,0.4,2.4,4.1,       .,       .,       .,       .,1.5,0.1,2.9,5.8,1.8,0.1,1.5,2.9,1.4,0.3,3.7,7.3
134,BU00590008,BU00590008,0.0,2.3,5.5,       .,       .,       .,       .,1.9,0.0,2.4,8.7,1.9,0.0,1.3,5.4,1.9,0.0,2.7,6.9
135,BU00590009,BU00590009,0.0,0.0,2.4,       .,       .,       .,       .,2.0,0.0,1.9,3.6,2.0,0.0,1.1,1.9,2.2,0.0,0.9,2.9
136,WK005901,WK005901,0.0,1.0,2.9,       .,       .,       .,       .,0.7,0.8,2.1,5.4,3.1,0.0,1.1,2.8,0.8,0.8,3.1,6.9
137,BU00590100,BU00590100,0.0,0.0,0.9,       .,       .,       .,       .,1.4,0.2,2.0,2.0,1.4,0.1,1.0,1.0,1.6,0.1,1.0,1.9
138,BU00590102,BU00590102,0.0,2.0,3.5,       .,       .,       .,       .,0.4,1.0,3.0,7.3,2.2,0.0,2.0,4.0,0.4,1.0,4.6,8.7
139,BU00590103,BU00590103,0.0,0.0,1.6,       .,       .,       .,       .,0.5,0.9,1.1,3.7,4.8,0.0,0.0,1.5,0.5,1.0,2.1,5.5
140,BU00590107,BU00590107,0.0,0.0,0.6,       .,       .,       .,       .,2.6,0.0,1.3,2.5,2.6,0.0,0.7,1.0,2.8,0.0,0.6,2.7
141,BU00590108,BU00590108,0.0,0.8,5.2,       .,       .,       .,       .,1.5,0.2,2.3,6.0,2.6,0.0,1.1,3.7,1.5,0.2,3.0,8.1
142,BU00590109,BU00590109,0.0,0.4,6.1,       .,       .,       .,       .,2.5,0.1,1.2,5.9,3.4,0.0,0.5,3.3,2.6,0.1,1.3,6.5
143,WK005902,WK005902,1.4,4.0,6.9,       .,       .,       .,       .,0.9,1.0,3.0,7.3,1.1,1.1,2.4,5.8,0.7,1.5,3.3,8.5
144,BU00590200,BU00590200,2.5,6.1,7.5,       .,       .,       .,       .,0.7,1.3,3.5,7.9,0.7,1.4,2.8,6.7,0.6,1.7,3.9,8.8
145,BU00590201,BU00590201,0.9,3.1,6.6,       .,       .,       .,       .,0.8,1.3,3.0,6.6,0.8,1.3,2.4,4.8,0.5,1.7,3.2,9.0
146,BU00590202,BU00590202,0.0,0.1,6.6,       .,       .,       .,       .,1.8,0.0,1.0,6.0,3.8,0.0,0.1,4.0,0.4,1.0,2.1,7.7
147,BU00590203,BU00590203,0.0,0.6,5.8,       .,       .,       .,       .,0.3,1.0,2.0,8.2,0.4,1.0,2.0,7.2,0.4,1.0,2.0,7.0
148,BU00590206,BU00590206,0.6,5.1,7.3,       .,       .,       .,       .,1.2,0.3,3.3,7.1,1.3,0.2,3.0,6.0,1.6,0.1,3.6,7.7
149,BU00590207,BU00590207,0.0,1.7,6.6,       .,       .,       .,       .,1.8,0.0,2.7,7.5,1.8,0.0,2.2,5.4,1.6,0.1,2.8,8.9
150,BU00590208,BU00590208,0.0,1.9,4.7,       .,       .,       .,       .,3.0,0.0,1.2,5.0,3.4,0.0,1.0,3.3,2.1,0.1,2.2,6.1
151,BU00590209,BU00590209,0.0,0.6,6.3,       .,       .,       .,       .,1.5,0.3,3.4,8.0,1.5,0.3,2.8,6.6,1.5,0.3,2.5,7.0
152,GM0482,GM0482,3.8,14.1,24.0,       .,       .,       .,       .,0.5,2.9,8.9,15.5,0.5,2.6,7.9,13.6,0.5,2.0,5.9,11.2
153,WK048201,WK048201,8.2,14.0,29.3,       .,       .,       .,       .,0.6,3.3,9.1,19.2,0.6,2.3,8.0,17.8,0.6,2.1,6.1,14.4
154,BU04820101,BU04820101,5.2,14.0,26.1,       .,       .,       .,       .,0.8,2.6,9.0,13.7,0.6,3.2,8.0,11.9,0.8,1.8,6.0,10.0
155,BU04820102,BU04820102,9.7,14.0,27.4,       .,       .,       .,       .,0.4,4.7,9.0,17.8,0.6,2.8,8.0,16.8,0.6,2.8,6.0,13.1
156,BU04820103,BU04820103,9.1,14.0,29.7,       .,       .,       .,       .,0.3,5.1,9.1,21.0,0.3,3.0,8.1,19.6,0.3,3.1,6.1,16.0
157,BU04820104,BU04820104,8.0,14.1,37.6,       .,       .,       .,       .,0.8,1.5,9.7,26.2,0.8,0.9,8.2,23.5,0.8,0.9,6.3,19.1
158,BU04820105,BU04820105,8.9,14.0,28.6,       .,       .,       .,       .,0.9,1.5,9.0,19.1,0.9,1.0,8.0,18.3,0.9,0.9,6.0,14.7
159,WK048202,WK048202,1.9,14.4,18.3,       .,       .,       .,       .,0.4,1.8,8.6,12.4,0.4,2.9,7.9,10.2,0.6,0.9,5.7,9.2
160,BU04820201,BU04820201,1.1,12.8,19.4,       .,       .,       .,       .,0.7,1.4,7.8,13.1,0.7,1.5,7.5,10.7,0.7,0.8,5.5,9.9
161,BU04820202,BU04820202,2.0,14.9,18.4,       .,       .,       .,       .,0.4,2.0,8.6,12.1,0.4,2.9,7.9,10.1,0.6,1.0,5.7,9.1
