ID,DistrictsAndNeighbourhoods,Encoding_3,Within1Km_45,Within3Km_46,Within5Km_47,DistanceToHotelEtc_48,Within5Km_49,Within105km_50,Within20Km_51,DistanceToDaycareCentres_52,Within1Km_53,Within3Km_54,Within5Km_55,DistanceToOutOfSchoolCare_56,Within1Km_57,Within3Km_58,Within5Km_59,DistanceToSchool_60,Within1Km_61,Within3Km_62,Within5Km_63
10904,BU03350109,BU03350109,1.5,5.9,14.9,       .,       .,       .,       .,1.3,0.4,2.5,7.5,1.5,0.3,2.8,8.8,2.5,0.0,2.4,7.5
10905,WK033502,WK033502,1.2,7.6,13.3,       .,       .,       .,       .,2.3,0.0,1.9,5.8,2.2,0.1,2.7,6.5,2.3,0.0,3.2,6.9
10906,BU03350200,BU03350200,0.2,6.4,15.1,       .,       .,       .,       .,3.0,0.0,0.9,6.4,3.2,0.0,1.1,6.8,3.2,0.0,1.2,7.5
10907,BU03350201,BU03350201,0.0,7.7,9.7,       .,       .,       .,       .,1.7,0.0,2.2,4.5,1.4,0.4,4.0,5.1,1.7,0.0,4.7,5.7
10908,BU03350202,BU03350202,3.4,9.4,13.4,       .,       .,       .,       .,1.7,0.0,3.0,6.0,1.5,0.0,4.0,6.9,1.5,0.0,5.0,7.0
10909,BU03350209,BU03350209,1.1,4.5,11.0,       .,       .,       .,       .,2.0,0.3,2.3,5.8,2.0,0.4,3.8,6.0,2.0,0.4,3.5,6.8
10910,GM0944,GM0944,1.3,8.2,32.5,       .,       .,       .,       .,0.8,0.8,3.1,11.7,0.8,0.8,3.8,12.9,0.8,0.8,3.3,9.4
10911,WK094400,WK094400,1.0,7.6,33.1,       .,       .,       .,       .,0.7,0.8,3.4,12.4,0.7,0.8,4.1,13.5,0.7,0.8,3.6,9.9
10912,BU09440000,BU09440000,1.9,8.1,25.0,       .,       .,       .,       .,0.6,0.9,4.6,11.0,0.6,0.9,5.9,11.6,0.6,0.9,5.1,8.5
10913,BU09440001,BU09440001,0.0,7.1,43.5,       .,       .,       .,       .,0.7,0.8,1.8,14.1,0.7,0.8,1.9,16.3,0.7,0.8,1.8,11.9
10914,BU09440009,BU09440009,0.0,6.0,35.0,       .,       .,       .,       .,2.3,0.0,2.0,12.4,2.3,0.0,1.8,10.0,2.3,0.0,1.8,7.9
10915,WK094401,WK094401,2.9,11.8,29.2,       .,       .,       .,       .,1.0,0.6,1.5,8.3,1.0,0.6,2.0,9.6,1.0,0.6,1.5,6.4
10916,BU09440100,BU09440100,7.6,11.3,25.4,       .,       .,       .,       .,2.2,0.0,1.7,5.6,2.1,0.0,2.5,7.0,2.2,0.0,1.7,4.9
10917,BU09440101,BU09440101,1.0,12.0,30.7,       .,       .,       .,       .,0.6,0.8,1.5,9.4,0.6,0.8,1.8,10.7,0.6,0.8,1.4,7.0
10918,GM1740,GM1740,1.2,3.4,13.0,       .,       .,       .,       .,0.8,1.9,3.6,9.6,0.9,0.9,1.8,5.7,0.9,1.8,3.0,8.3
10919,WK174000,WK174000,1.6,4.6,18.8,       .,       .,       .,       .,0.7,1.8,3.4,11.9,1.0,0.6,1.3,7.2,0.8,2.2,3.6,10.7
10920,BU17400000,BU17400000,3.5,6.6,26.2,       .,       .,       .,       .,0.5,2.1,3.4,16.8,0.8,0.7,1.4,12.1,0.6,2.4,3.1,14.2
10921,BU17400001,BU17400001,0.1,2.2,12.4,       .,       .,       .,       .,0.5,2.4,3.0,7.7,0.6,0.9,1.0,2.5,0.5,3.2,4.0,7.7
10922,BU17400006,BU17400006,1.4,5.3,19.7,       .,       .,       .,       .,2.1,0.1,2.2,11.4,2.3,0.0,1.0,8.2,2.1,0.1,2.4,9.9
10923,BU17400007,BU17400007,1.9,6.3,23.0,       .,       .,       .,       .,0.9,0.8,4.7,14.9,1.4,0.1,2.2,10.2,1.2,0.4,3.9,12.3
